"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Fulvestrant","Fold","p.value","FDR"
"1784","chr18",3624003,3624363,361,"*",4.57,5.38,2.55,2.84,4.66e-10,4.03e-09
"1785","chr3",153936533,153936868,336,"*",5.41,6.14,3.85,2.29,4.69e-10,4.06e-09
"1786","chr6",2982708,2982959,252,"*",4.03,4.95,0.92,4.03,4.76e-10,4.12e-09
"1787","chr10",1311047,1311384,338,"*",5.06,5.83,3.31,2.51,4.77e-10,4.12e-09
"1788","chr10",410506,410819,314,"*",4.2,5.08,1.49,3.59,4.87e-10,4.21e-09
"1789","chr12",120600050,120600309,260,"*",3.79,4.74,0.14,4.59,4.89e-10,4.22e-09
"1790","chr16",1464733,1465193,461,"*",5.04,5.78,3.48,2.3,4.97e-10,4.29e-09
"1791","chr17",71608290,71608601,312,"*",4.09,4.95,1.58,3.37,4.98e-10,4.3e-09
"1792","chr21",30750965,30751411,447,"*",4.41,5.25,2.16,3.09,5.02e-10,4.33e-09
"1793","chr2",238411038,238411728,691,"*",6.2,6.77,5.24,1.53,5.07e-10,4.37e-09
"1794","chr14",99353369,99353648,280,"*",4.69,5.49,2.68,2.81,5.07e-10,4.37e-09
"1795","chr8",17395071,17395354,284,"*",3.81,4.72,0.64,4.08,5.09e-10,4.39e-09
"1796","chr10",76660998,76661531,534,"*",5.04,5.85,3.05,2.8,5.11e-10,4.4e-09
"1797","chr8",22605835,22606101,267,"*",3.73,4.67,-0.06,4.73,5.14e-10,4.42e-09
"1798","chr3",189047760,189048318,559,"*",5.36,6.12,3.64,2.48,5.18e-10,4.45e-09
"1799","chr10",119023932,119024630,699,"*",4.76,5.56,2.83,2.73,5.25e-10,4.51e-09
"1800","chr9",74641068,74641300,233,"*",3.94,4.9,-0.49,5.39,5.29e-10,4.54e-09
"1801","chr2",28583924,28584181,258,"*",3.72,4.69,-0.49,5.17,5.3e-10,4.55e-09
"1802","chr20",47421389,47421547,159,"*",3.78,4.72,0.3,4.41,5.4e-10,4.63e-09
"1803","chr20",809644,810001,358,"*",5,5.73,3.43,2.3,5.4e-10,4.63e-09
"1804","chr10",121423578,121424215,638,"*",5.71,6.41,4.3,2.1,5.45e-10,4.67e-09
"1805","chr11",86417079,86417792,714,"*",6.41,7.02,5.3,1.73,5.45e-10,4.67e-09
"1806","chr2",237733460,237733959,500,"*",5.53,6.21,4.18,2.03,5.48e-10,4.69e-09
"1807","chr1",153581220,153581853,634,"*",4.97,5.76,3.05,2.71,5.49e-10,4.69e-09
"1808","chr1",26083649,26084002,354,"*",4.28,5.17,1.6,3.57,5.52e-10,4.72e-09
"1809","chr1",233679156,233679393,238,"*",3.71,4.66,-0.25,4.91,5.59e-10,4.77e-09
"1810","chr10",116109277,116109915,639,"*",5.98,6.65,4.67,1.98,5.59e-10,4.78e-09
"1811","chr14",94425701,94426186,486,"*",5.53,6.2,4.25,1.95,5.63e-10,4.8e-09
"1812","chr7",80569843,80570180,338,"*",4.62,5.48,2.18,3.31,5.65e-10,4.82e-09
"1813","chr15",90371660,90372047,388,"*",4.38,5.22,2.2,3.02,5.68e-10,4.84e-09
"1814","chr4",95393677,95393910,234,"*",3.98,4.9,0.81,4.09,5.75e-10,4.9e-09
"1815","chr21",41357230,41357524,295,"*",4.16,5.03,1.59,3.45,5.75e-10,4.9e-09
"1816","chr3",170052630,170052931,302,"*",4.56,5.37,2.56,2.81,5.81e-10,4.94e-09
"1817","chr8",143415178,143415511,334,"*",4.34,5.22,1.68,3.54,5.83e-10,4.96e-09
"1818","chr9",139755519,139755746,228,"*",3.79,4.72,0.3,4.42,5.91e-10,5.02e-09
"1819","chr10",44092257,44092493,237,"*",4.02,4.93,1.06,3.86,5.98e-10,5.08e-09
"1820","chr20",46786707,46787147,441,"*",6.06,6.98,2.88,4.1,6.02e-10,5.11e-09
"1821","chr4",3829197,3829969,773,"*",6.11,6.7,5.12,1.58,6.06e-10,5.14e-09
"1822","chr7",133332487,133332827,341,"*",4.48,5.35,1.97,3.38,6.24e-10,5.29e-09
"1823","chr9",130169792,130170201,410,"*",5.6,6.25,4.37,1.89,6.28e-10,5.32e-09
"1824","chr5",122491085,122491496,412,"*",4.91,5.67,3.16,2.51,6.29e-10,5.33e-09
"1825","chr4",8008095,8008486,392,"*",3.93,4.83,1.06,3.78,6.3e-10,5.33e-09
"1826","chr9",16040326,16040705,380,"*",5.13,5.86,3.62,2.24,6.38e-10,5.4e-09
"1827","chr11",15924890,15925162,273,"*",3.73,4.67,0.14,4.53,6.44e-10,5.44e-09
"1828","chr4",106038157,106038374,218,"*",3.79,4.72,0.3,4.42,6.51e-10,5.5e-09
"1829","chr10",23015792,23016144,353,"*",3.82,4.75,0.45,4.3,6.58e-10,5.55e-09
"1830","chr10",95225877,95226404,528,"*",5.28,6.04,3.61,2.42,6.58e-10,5.56e-09
"1831","chr8",95176945,95177279,335,"*",4.26,5.17,1.27,3.9,6.67e-10,5.63e-09
"1832","chr7",80797596,80797836,241,"*",3.9,4.82,0.58,4.24,6.74e-10,5.68e-09
"1833","chr12",69810145,69810498,354,"*",5.21,5.92,3.76,2.17,6.83e-10,5.75e-09
"1834","chr14",93430138,93430456,319,"*",4.47,5.32,2.13,3.19,6.95e-10,5.85e-09
"1835","chr14",106055704,106056053,350,"*",4.2,5.05,1.82,3.22,6.99e-10,5.89e-09
"1836","chr19",17908323,17908599,277,"*",3.98,4.88,1.06,3.82,7.13e-10,6e-09
"1837","chr20",62173654,62173901,248,"*",3.98,4.87,1.14,3.73,7.15e-10,6.01e-09
"1838","chr2",567034,567285,252,"*",4.24,5.12,1.62,3.5,7.16e-10,6.02e-09
"1839","chr18",10070387,10070689,303,"*",3.7,4.64,-0.04,4.68,7.18e-10,6.03e-09
"1840","chr1",1724937,1725198,262,"*",4.07,4.97,1.18,3.79,7.22e-10,6.06e-09
"1841","chr11",35119439,35119738,300,"*",3.68,4.64,-0.49,5.13,7.26e-10,6.09e-09
"1842","chr10",63808739,63809022,284,"*",4.36,5.25,1.61,3.65,7.33e-10,6.15e-09
"1843","chr8",135746926,135747372,447,"*",5.67,6.34,4.38,1.96,7.34e-10,6.15e-09
"1844","chr12",57321505,57321732,228,"*",3.75,4.7,-0.25,4.95,7.52e-10,6.3e-09
"1845","chr5",134977513,134978033,521,"*",4.63,5.42,2.79,2.63,7.54e-10,6.32e-09
"1846","chr16",88992831,88993131,301,"*",4.29,5.14,1.95,3.19,7.86e-10,6.58e-09
"1847","chr11",84399527,84399945,419,"*",3.99,4.93,0.45,4.48,7.88e-10,6.59e-09
"1848","chr1",213596411,213596669,259,"*",3.75,4.67,0.51,4.16,8.01e-10,6.69e-09
"1849","chr20",47214039,47214261,223,"*",3.75,4.71,-0.49,5.2,8.04e-10,6.72e-09
"1850","chr2",39693245,39693838,594,"*",5.26,5.99,3.68,2.31,8.07e-10,6.74e-09
"1851","chr11",1144633,1145123,491,"*",4.62,5.43,2.63,2.8,8.08e-10,6.75e-09
"1852","chr18",20839544,20839971,428,"*",5.26,5.96,3.85,2.11,8.09e-10,6.75e-09
"1853","chr2",162728654,162728989,336,"*",5.22,5.98,3.51,2.47,8.12e-10,6.77e-09
"1854","chr3",194814945,194815288,344,"*",4.62,5.47,2.32,3.15,8.15e-10,6.79e-09
"1855","chr5",167723872,167724130,259,"*",3.89,4.8,0.8,4,8.15e-10,6.79e-09
"1856","chr11",48108046,48108352,307,"*",4.15,5.03,1.53,3.5,8.17e-10,6.8e-09
"1857","chr14",77423874,77424187,314,"*",4.27,5.1,2.03,3.07,8.19e-10,6.81e-09
"1858","chr5",78489538,78489911,374,"*",5.1,5.84,3.51,2.33,8.2e-10,6.82e-09
"1859","chr8",67374728,67375200,473,"*",4.7,5.49,2.86,2.62,8.21e-10,6.82e-09
"1860","chr4",8184768,8185523,756,"*",5.77,6.39,4.66,1.72,8.24e-10,6.84e-09
"1861","chr12",53011193,53011406,214,"*",3.69,4.63,-0.04,4.67,8.3e-10,6.89e-09
"1862","chr4",16004075,16004466,392,"*",3.76,4.68,0.56,4.12,8.33e-10,6.92e-09
"1863","chr5",56727829,56728181,353,"*",4.89,5.64,3.24,2.4,8.34e-10,6.92e-09
"1864","chr3",122789331,122789601,271,"*",3.95,4.85,1.09,3.77,8.36e-10,6.93e-09
"1865","chr1",3571216,3571692,477,"*",4.45,5.27,2.37,2.9,8.4e-10,6.96e-09
"1866","chr5",67841497,67841733,237,"*",4.13,5,1.58,3.42,8.49e-10,7.03e-09
"1867","chr19",46285012,46285518,507,"*",4.9,5.64,3.26,2.38,8.53e-10,7.06e-09
"1868","chr11",35412399,35412986,588,"*",4.83,5.64,2.79,2.85,8.54e-10,7.07e-09
"1869","chr3",188891492,188891768,277,"*",4.15,5.07,0.9,4.17,8.55e-10,7.07e-09
"1870","chr6",109056568,109056744,177,"*",3.82,4.75,0.45,4.3,8.55e-10,7.07e-09
"1871","chr7",3283909,3284302,394,"*",5.25,5.96,3.82,2.14,8.59e-10,7.09e-09
"1872","chr20",2678932,2679218,287,"*",3.97,4.86,1.2,3.66,8.64e-10,7.13e-09
"1873","chr7",139717448,139717685,238,"*",3.89,4.81,0.7,4.11,8.74e-10,7.2e-09
"1874","chr8",67653977,67654357,381,"*",5.04,5.78,3.41,2.37,8.75e-10,7.2e-09
"1875","chr9",115147069,115147459,391,"*",4.86,5.61,3.18,2.43,8.75e-10,7.2e-09
"1876","chr12",8980419,8980936,518,"*",4.86,5.63,3.12,2.51,8.75e-10,7.2e-09
"1877","chr2",100907484,100908035,552,"*",5.79,6.41,4.67,1.74,8.75e-10,7.2e-09
"1878","chr10",76415591,76415829,239,"*",3.86,4.79,0.58,4.21,8.81e-10,7.25e-09
"1879","chr16",86964942,86965167,226,"*",3.72,4.65,0.39,4.26,8.89e-10,7.31e-09
"1880","chr5",134632690,134632992,303,"*",3.94,4.85,0.91,3.95,9.02e-10,7.41e-09
"1881","chr2",54215838,54216063,226,"*",3.84,4.76,0.58,4.18,9.02e-10,7.41e-09
"1882","chr22",45931134,45931674,541,"*",4.45,5.26,2.4,2.86,9.09e-10,7.46e-09
"1883","chr7",88355043,88355450,408,"*",4.97,5.78,2.97,2.8,9.2e-10,7.55e-09
"1884","chr2",47263229,47263475,247,"*",3.94,4.83,1.09,3.74,9.28e-10,7.61e-09
"1885","chr12",43109873,43110118,246,"*",4.24,5.1,1.72,3.39,9.39e-10,7.7e-09
"1886","chr16",34876080,34876342,263,"*",3.98,4.89,0.92,3.98,9.44e-10,7.73e-09
"1887","chr12",54261269,54261742,474,"*",5.73,6.43,4.32,2.11,9.57e-10,7.84e-09
"1888","chr16",2300339,2300703,365,"*",5.03,5.76,3.45,2.31,9.64e-10,7.89e-09
"1889","chr16",79071387,79072165,779,"*",6.48,7.04,5.54,1.5,9.71e-10,7.94e-09
"1890","chr6",157890539,157890806,268,"*",3.75,4.67,0.52,4.15,9.74e-10,7.96e-09
"1891","chr21",15678519,15678855,337,"*",5.62,6.32,4.24,2.08,9.75e-10,7.96e-09
"1892","chrX",23520132,23520515,384,"*",5.32,6.01,3.95,2.06,9.87e-10,8.06e-09
"1893","chr4",38622694,38623306,613,"*",5.5,6.17,4.21,1.96,1e-09,8.17e-09
"1894","chr1",144891869,144892080,212,"*",3.89,4.81,0.69,4.12,1e-09,8.18e-09
"1895","chr15",98999315,98999577,263,"*",3.92,4.8,1.23,3.57,1.01e-09,8.27e-09
"1896","chr2",241190914,241191250,337,"*",4.28,5.13,1.95,3.18,1.04e-09,8.51e-09
"1897","chr17",16826177,16826432,256,"*",4.06,4.92,1.6,3.31,1.05e-09,8.53e-09
"1898","chr12",13194158,13194479,322,"*",4.74,5.52,2.96,2.56,1.05e-09,8.58e-09
"1899","chr21",46493141,46493855,715,"*",6.09,6.7,4.99,1.71,1.06e-09,8.61e-09
"1900","chr10",71841229,71841559,331,"*",4.21,5.09,1.6,3.49,1.06e-09,8.61e-09
"1901","chr1",38589050,38589644,595,"*",4.88,5.69,2.85,2.84,1.06e-09,8.63e-09
"1902","chr15",63259321,63259581,261,"*",3.66,4.61,-0.49,5.1,1.06e-09,8.65e-09
"1903","chr6",109053781,109054087,307,"*",4.19,5.09,1.27,3.82,1.07e-09,8.68e-09
"1904","chr14",77610725,77611062,338,"*",3.82,4.74,0.76,3.97,1.07e-09,8.71e-09
"1905","chr19",52054234,52054718,485,"*",4.66,5.49,2.53,2.95,1.08e-09,8.72e-09
"1906","chr17",4497063,4497342,280,"*",3.96,4.84,1.24,3.6,1.09e-09,8.84e-09
"1907","chr4",176378852,176379398,547,"*",4.91,5.69,3.1,2.59,1.11e-09,9.01e-09
"1908","chr15",76400380,76400635,256,"*",3.78,4.69,0.68,4.01,1.12e-09,9.1e-09
"1909","chr10",95776754,95777053,300,"*",4.54,5.38,2.3,3.07,1.13e-09,9.16e-09
"1910","chr17",4151227,4151655,429,"*",4.62,5.4,2.8,2.6,1.13e-09,9.16e-09
"1911","chr2",20313690,20314166,477,"*",5.61,6.27,4.35,1.92,1.13e-09,9.17e-09
"1912","chr8",142268378,142268677,300,"*",3.66,4.61,-0.04,4.65,1.14e-09,9.21e-09
"1913","chr2",226995966,226996371,406,"*",4.02,4.94,0.92,4.02,1.15e-09,9.26e-09
"1914","chr2",238398001,238398419,419,"*",4.98,5.75,3.2,2.55,1.16e-09,9.33e-09
"1915","chr21",40286633,40286893,261,"*",4.39,5.29,1.55,3.74,1.16e-09,9.38e-09
"1916","chr22",46773492,46773848,357,"*",5.53,6.19,4.27,1.92,1.17e-09,9.4e-09
"1917","chr16",79019853,79020095,243,"*",4.17,5.01,1.86,3.15,1.18e-09,9.48e-09
"1918","chr1",21196301,21196706,406,"*",3.68,4.62,-0.04,4.66,1.18e-09,9.48e-09
"1919","chr7",24752845,24753279,435,"*",4.11,4.97,1.61,3.36,1.18e-09,9.48e-09
"1920","chr3",195877027,195877333,307,"*",3.73,4.65,0.52,4.13,1.19e-09,9.58e-09
"1921","chr14",104810436,104810674,239,"*",3.63,4.58,-0.25,4.82,1.2e-09,9.63e-09
"1922","chr8",22442331,22442639,309,"*",4.02,4.92,1.15,3.77,1.2e-09,9.64e-09
"1923","chr5",149237135,149237407,273,"*",3.94,4.84,1.12,3.71,1.21e-09,9.75e-09
"1924","chr1",112213738,112214002,265,"*",4.11,4.99,1.53,3.46,1.24e-09,9.94e-09
"1925","chr11",957284,957586,303,"*",3.66,4.6,0.23,4.36,1.24e-09,9.95e-09
"1926","chr11",120106265,120106548,284,"*",3.99,4.88,1.31,3.57,1.24e-09,9.97e-09
"1927","chr10",126812203,126812733,531,"*",4.97,5.7,3.41,2.29,1.25e-09,1e-08
"1928","chr1",108741800,108742158,359,"*",5.82,6.49,4.52,1.97,1.26e-09,1.01e-08
"1929","chr12",117353182,117353438,257,"*",4.04,4.91,1.44,3.47,1.26e-09,1.01e-08
"1930","chr1",19753649,19754150,502,"*",4.78,5.54,3.06,2.48,1.27e-09,1.01e-08
"1931","chr19",10854774,10855320,547,"*",5.2,5.9,3.77,2.14,1.28e-09,1.02e-08
"1932","chr1",202076394,202076761,368,"*",4.47,5.28,2.43,2.85,1.28e-09,1.02e-08
"1933","chrX",149461645,149462116,472,"*",5.57,6.28,4.08,2.2,1.29e-09,1.03e-08
"1934","chr17",76522833,76523173,341,"*",4.58,5.41,2.41,3,1.29e-09,1.03e-08
"1935","chr3",124552644,124552924,281,"*",4.96,5.72,3.28,2.44,1.31e-09,1.04e-08
"1936","chr16",608585,608829,245,"*",3.71,4.63,0.44,4.2,1.31e-09,1.04e-08
"1937","chr3",31989470,31989791,322,"*",3.93,4.82,1.09,3.74,1.31e-09,1.05e-08
"1938","chr1",15789637,15789980,344,"*",3.78,4.69,0.65,4.04,1.32e-09,1.06e-08
"1939","chr19",4970765,4971150,386,"*",5.21,5.93,3.74,2.19,1.33e-09,1.06e-08
"1940","chrX",84612879,84613178,300,"*",4.71,5.57,2.26,3.31,1.33e-09,1.06e-08
"1941","chr16",84280358,84280679,322,"*",5.23,5.92,3.85,2.07,1.35e-09,1.07e-08
"1942","chr7",87044331,87044605,275,"*",4.05,4.92,1.5,3.41,1.35e-09,1.07e-08
"1943","chr12",46573448,46573815,368,"*",5.4,6.19,3.49,2.7,1.37e-09,1.09e-08
"1944","chr10",123269645,123270047,403,"*",5.27,6,3.72,2.27,1.38e-09,1.1e-08
"1945","chr10",14338202,14338578,377,"*",4.35,5.2,1.99,3.21,1.39e-09,1.11e-08
"1946","chr2",218252269,218252519,251,"*",3.86,4.78,0.58,4.2,1.4e-09,1.11e-08
"1947","chr2",224609328,224609562,235,"*",3.62,4.58,-0.49,5.06,1.4e-09,1.11e-08
"1948","chr3",61983815,61984026,212,"*",3.92,4.84,0.7,4.14,1.41e-09,1.11e-08
"1949","chr6",161377609,161377908,300,"*",3.65,4.61,-0.49,5.09,1.41e-09,1.12e-08
"1950","chr2",28565261,28565556,296,"*",4.04,4.93,1.32,3.61,1.43e-09,1.14e-08
"1951","chr11",70606384,70606734,351,"*",4.56,5.36,2.61,2.74,1.44e-09,1.14e-08
"1952","chr5",106897611,106897848,238,"*",3.98,4.87,1.2,3.67,1.45e-09,1.15e-08
"1953","chr10",36653276,36653596,321,"*",3.97,4.9,0.45,4.46,1.45e-09,1.15e-08
"1954","chr11",133085486,133085741,256,"*",3.79,4.7,0.69,4.01,1.48e-09,1.17e-08
"1955","chr9",108716442,108716725,284,"*",4.51,5.38,1.99,3.39,1.48e-09,1.17e-08
"1956","chr15",88006068,88006390,323,"*",4.44,5.34,1.57,3.76,1.5e-09,1.18e-08
"1957","chr11",69511979,69512327,349,"*",4.72,5.51,2.85,2.66,1.51e-09,1.19e-08
"1958","chr5",67830133,67830600,468,"*",4.94,5.67,3.36,2.31,1.52e-09,1.2e-08
"1959","chr2",199833010,199833260,251,"*",3.64,4.58,-0.04,4.62,1.52e-09,1.2e-08
"1960","chr15",31733123,31733561,439,"*",5.27,5.99,3.77,2.22,1.53e-09,1.21e-08
"1961","chr11",101881941,101882228,288,"*",4.01,4.91,1.01,3.9,1.55e-09,1.22e-08
"1962","chr10",30654152,30654529,378,"*",3.86,4.77,0.7,4.07,1.56e-09,1.23e-08
"1963","chr21",36634493,36634854,362,"*",4.87,5.73,2.41,3.32,1.56e-09,1.23e-08
"1964","chr20",55333691,55334338,648,"*",7.05,7.55,6.28,1.27,1.57e-09,1.24e-08
"1965","chr17",54251382,54251594,213,"*",3.61,4.56,-0.25,4.8,1.57e-09,1.24e-08
"1966","chr5",66544570,66544845,276,"*",4.18,5.05,1.6,3.45,1.59e-09,1.25e-08
"1967","chr3",124856392,124856663,272,"*",3.66,4.6,0.14,4.46,1.59e-09,1.25e-08
"1968","chr9",128223104,128223522,419,"*",5.52,6.48,1.55,4.93,1.59e-09,1.25e-08
"1969","chr20",24640663,24640874,212,"*",3.62,4.57,-0.49,5.06,1.59e-09,1.25e-08
"1970","chr22",48981841,48982173,333,"*",4.2,5.06,1.73,3.33,1.6e-09,1.25e-08
"1971","chr4",24483903,24484403,501,"*",5.51,6.16,4.29,1.87,1.65e-09,1.29e-08
"1972","chr2",132191839,132192244,406,"*",4.51,5.33,2.47,2.85,1.65e-09,1.29e-08
"1973","chr16",1102877,1103142,266,"*",3.83,4.73,0.95,3.78,1.67e-09,1.31e-08
"1974","chr9",74625772,74626171,400,"*",3.71,4.65,0.14,4.5,1.68e-09,1.31e-08
"1975","chr16",23149241,23149559,319,"*",5.29,6.04,3.64,2.4,1.68e-09,1.32e-08
"1976","chr14",61993659,61993944,286,"*",3.88,4.78,1,3.79,1.68e-09,1.32e-08
"1977","chr4",27052409,27052808,400,"*",3.87,4.77,0.91,3.87,1.7e-09,1.33e-08
"1978","chr4",4840556,4840898,343,"*",4.29,5.12,2.14,2.99,1.7e-09,1.33e-08
"1979","chr16",25130873,25131264,392,"*",5.6,6.25,4.4,1.85,1.71e-09,1.33e-08
"1980","chr7",16882097,16882336,240,"*",3.63,4.57,-0.04,4.61,1.71e-09,1.33e-08
"1981","chr11",35285883,35286198,316,"*",3.62,4.57,-0.06,4.62,1.71e-09,1.34e-08
"1982","chr14",22634909,22635222,314,"*",4.16,5.02,1.77,3.25,1.71e-09,1.34e-08
"1983","chr2",1696412,1696671,260,"*",3.92,4.83,0.81,4.02,1.71e-09,1.34e-08
"1984","chr17",21069596,21069845,250,"*",3.6,4.56,-0.49,5.05,1.73e-09,1.34e-08
"1985","chr16",85345528,85345738,211,"*",3.61,4.57,-0.49,5.05,1.75e-09,1.36e-08
"1986","chr11",34306489,34306769,281,"*",4.35,5.16,2.34,2.82,1.75e-09,1.36e-08
"1987","chr2",5888332,5888822,491,"*",4.49,5.31,2.36,2.95,1.76e-09,1.36e-08
"1988","chr11",38993541,38993906,366,"*",5.04,5.82,3.23,2.59,1.77e-09,1.38e-08
"1989","chr2",218252600,218253244,645,"*",6.63,7.16,5.8,1.35,1.78e-09,1.38e-08
"1990","chr16",70430554,70430864,311,"*",3.7,4.62,0.52,4.1,1.78e-09,1.39e-08
"1991","chr13",64750978,64751350,373,"*",4.09,4.96,1.63,3.33,1.79e-09,1.39e-08
"1992","chr9",139895291,139895642,352,"*",4.45,5.26,2.39,2.87,1.81e-09,1.4e-08
"1993","chr14",65283796,65284061,266,"*",4.39,5.22,2.21,3.01,1.82e-09,1.41e-08
"1994","chr11",10416154,10416701,548,"*",5.58,6.25,4.28,1.97,1.82e-09,1.41e-08
"1995","chr16",701746,701998,253,"*",3.6,4.55,-0.25,4.8,1.82e-09,1.41e-08
"1996","chr9",137584998,137585223,226,"*",3.84,4.76,0.7,4.06,1.83e-09,1.42e-08
"1997","chr17",57069237,57069386,150,"*",3.93,4.82,1.2,3.62,1.84e-09,1.42e-08
"1998","chr1",112521455,112521651,197,"*",3.91,4.83,0.7,4.13,1.85e-09,1.43e-08
"1999","chr21",46167845,46168090,246,"*",3.83,4.77,0.3,4.47,1.87e-09,1.44e-08
"2000","chr5",159376621,159376839,219,"*",3.6,4.56,-0.49,5.05,1.88e-09,1.45e-08
"2001","chr9",95815633,95815882,250,"*",4,4.87,1.42,3.45,1.89e-09,1.46e-08
"2002","chr15",96880069,96880554,486,"*",5.36,6.05,3.98,2.07,1.9e-09,1.47e-08
"2003","chr20",49067712,49068231,520,"*",5.14,5.86,3.64,2.21,1.91e-09,1.47e-08
"2004","chr5",9855121,9855495,375,"*",5.18,5.88,3.78,2.1,1.91e-09,1.47e-08
"2005","chr3",156886255,156886775,521,"*",4.71,5.55,2.45,3.1,1.92e-09,1.48e-08
"2006","chr16",20440806,20441146,341,"*",3.7,4.62,0.44,4.19,1.93e-09,1.49e-08
"2007","chr13",104382807,104383093,287,"*",4.01,4.89,1.35,3.54,1.95e-09,1.5e-08
"2008","chr20",43969078,43969387,310,"*",4.4,5.2,2.39,2.81,1.96e-09,1.51e-08
"2009","chr4",38524766,38525024,259,"*",3.58,4.54,-0.49,5.03,1.97e-09,1.51e-08
"2010","chr2",168912797,168913114,318,"*",4.38,5.25,1.86,3.39,1.99e-09,1.53e-08
"2011","chr2",97484796,97485231,436,"*",4.87,5.62,3.24,2.38,2.02e-09,1.55e-08
"2012","chr5",159596943,159597181,239,"*",4.14,4.99,1.71,3.29,2.03e-09,1.56e-08
"2013","chr12",132356724,132357057,334,"*",4.67,5.45,2.82,2.64,2.04e-09,1.56e-08
"2014","chr5",44568666,44568899,234,"*",3.93,4.86,0.45,4.42,2.04e-09,1.57e-08
"2015","chr5",134945744,134945967,224,"*",3.6,4.54,-0.06,4.6,2.06e-09,1.58e-08
"2016","chr1",217536530,217536813,284,"*",3.83,4.72,1.07,3.65,2.07e-09,1.59e-08
"2017","chr10",6196786,6197054,269,"*",4.27,5.11,2.08,3.02,2.07e-09,1.59e-08
"2018","chr18",21207236,21207585,350,"*",4.67,5.5,2.44,3.06,2.08e-09,1.59e-08
"2019","chr4",97850923,97851312,390,"*",4.07,4.94,1.57,3.37,2.08e-09,1.59e-08
"2020","chr20",40021527,40021862,336,"*",4.37,5.21,2.1,3.11,2.09e-09,1.6e-08
"2021","chr20",30432920,30433288,369,"*",5.15,5.86,3.68,2.18,2.09e-09,1.6e-08
"2022","chr21",16959197,16959685,489,"*",5.17,5.97,3.26,2.71,2.1e-09,1.61e-08
"2023","chr7",670944,671245,302,"*",4.13,5,1.59,3.41,2.11e-09,1.61e-08
"2024","chr11",12705506,12705819,314,"*",4.42,5.26,2.15,3.12,2.14e-09,1.63e-08
"2025","chr19",7968919,7969303,385,"*",5.12,5.85,3.57,2.28,2.14e-09,1.64e-08
"2026","chrX",40377098,40377749,652,"*",5.47,6.16,4.12,2.04,2.16e-09,1.64e-08
"2027","chr10",134572486,134572778,293,"*",4.08,4.94,1.67,3.27,2.16e-09,1.64e-08
"2028","chr13",114203158,114203501,344,"*",4.16,5,1.87,3.13,2.18e-09,1.66e-08
"2029","chr17",75325089,75325291,203,"*",3.61,4.56,-0.04,4.59,2.19e-09,1.67e-08
"2030","chrX",135165478,135166055,578,"*",5.14,5.95,3.13,2.82,2.2e-09,1.67e-08
"2031","chr21",16575889,16576389,501,"*",4.87,5.66,2.99,2.67,2.21e-09,1.68e-08
"2032","chr12",115888712,115889055,344,"*",4.35,5.16,2.33,2.84,2.24e-09,1.7e-08
"2033","chr17",66322171,66322599,429,"*",5.59,6.22,4.46,1.76,2.24e-09,1.7e-08
"2034","chr18",43145645,43145959,315,"*",3.57,4.53,-0.49,5.02,2.24e-09,1.7e-08
"2035","chr17",29817808,29818021,214,"*",3.63,4.56,0.14,4.42,2.25e-09,1.71e-08
"2036","chr6",41424787,41424952,166,"*",5.41,6.11,3.98,2.13,2.26e-09,1.71e-08
"2037","chr20",14931356,14931600,245,"*",4.27,5.14,1.7,3.45,2.27e-09,1.72e-08
"2038","chr20",25272469,25272801,333,"*",3.71,4.62,0.71,3.91,2.27e-09,1.72e-08
"2039","chr1",108396955,108397507,553,"*",5.29,6.04,3.65,2.4,2.27e-09,1.72e-08
"2040","chr4",184244447,184244764,318,"*",4.55,5.35,2.62,2.73,2.29e-09,1.74e-08
"2041","chr11",66845832,66846077,246,"*",3.59,4.54,-0.04,4.57,2.31e-09,1.75e-08
"2042","chr19",59029533,59029871,339,"*",4.25,5.1,1.92,3.18,2.31e-09,1.75e-08
"2043","chr5",6343685,6343910,226,"*",3.57,4.52,-0.25,4.76,2.33e-09,1.76e-08
"2044","chr4",25528672,25528947,276,"*",3.91,4.82,0.9,3.92,2.34e-09,1.77e-08
"2045","chr14",105794947,105795451,505,"*",5.17,5.86,3.77,2.1,2.36e-09,1.78e-08
"2046","chrX",102805363,102805650,288,"*",3.77,4.7,0.3,4.4,2.38e-09,1.8e-08
"2047","chr1",153451154,153451476,323,"*",4.26,5.08,2.12,2.96,2.39e-09,1.8e-08
"2048","chr3",64598870,64599288,419,"*",5.83,6.56,4.29,2.26,2.39e-09,1.8e-08
"2049","chr13",113655557,113655975,419,"*",4.39,5.22,2.25,2.97,2.42e-09,1.83e-08
"2050","chr12",33762447,33762857,411,"*",5.5,6.26,3.76,2.51,2.45e-09,1.85e-08
"2051","chr19",47423509,47423911,403,"*",4.13,4.97,1.89,3.09,2.46e-09,1.85e-08
"2052","chr16",67982030,67982335,306,"*",4.62,5.39,2.82,2.57,2.46e-09,1.85e-08
"2053","chr18",42309584,42310037,454,"*",5.39,6.08,4.01,2.08,2.47e-09,1.86e-08
"2054","chrX",19621317,19621608,292,"*",4.1,4.97,1.53,3.44,2.49e-09,1.87e-08
"2055","chr2",38741906,38742269,364,"*",4.11,4.95,1.86,3.09,2.5e-09,1.88e-08
"2056","chr8",111945986,111946192,207,"*",3.64,4.6,-0.49,5.09,2.51e-09,1.88e-08
