"","seqnames","start","end","width","strand","Conc","Conc_Fulvestrant","Conc_none","Fold","p.value","FDR"
"797","chr2",208038436,208038765,330,"*",3.67,0.64,4.58,-3.94,8.76e-16,7.25e-15
"798","chr3",4692281,4692649,369,"*",4.23,2.46,5,-2.55,8.85e-16,7.31e-15
"799","chr9",32604260,32604614,355,"*",3.81,1.34,4.67,-3.34,9.23e-16,7.62e-15
"800","chr1",150980441,150980929,489,"*",4.67,2.96,5.43,-2.47,9.28e-16,7.65e-15
"801","chr17",64504312,64504739,428,"*",4.09,1.99,4.92,-2.93,9.36e-16,7.71e-15
"802","chr17",8957492,8957883,392,"*",4.21,2.05,5.04,-2.99,9.4e-16,7.72e-15
"803","chr10",48332096,48332453,358,"*",4.29,2.28,5.1,-2.82,9.4e-16,7.72e-15
"804","chr9",130717781,130718352,572,"*",4.53,2.89,5.27,-2.39,9.5e-16,7.8e-15
"805","chr9",5268919,5269578,660,"*",4.29,2.52,5.06,-2.54,9.54e-16,7.81e-15
"806","chr1",187282238,187282747,510,"*",3.66,-0.04,4.6,-4.64,9.65e-16,7.89e-15
"807","chr17",38604834,38605299,466,"*",5.75,4.27,6.46,-2.19,9.85e-16,8.05e-15
"808","chr6",121508805,121509310,506,"*",4.97,3.54,5.68,-2.14,1e-15,8.17e-15
"809","chr13",46933884,46934232,349,"*",3.82,-0.54,4.79,-5.33,1.03e-15,8.4e-15
"810","chr6",135575578,135575945,368,"*",3.66,0.42,4.58,-4.16,1.04e-15,8.48e-15
"811","chr1",117051033,117051419,387,"*",4.38,2.5,5.16,-2.66,1.07e-15,8.7e-15
"812","chr22",27741321,27741738,418,"*",3.69,0.63,4.6,-3.97,1.07e-15,8.7e-15
"813","chr1",117724310,117724656,347,"*",3.81,1.03,4.7,-3.67,1.07e-15,8.7e-15
"814","chr12",76104927,76105289,363,"*",3.72,-0.36,4.68,-5.04,1.09e-15,8.82e-15
"815","chr15",33359973,33360568,596,"*",5.02,3.56,5.74,-2.18,1.1e-15,8.88e-15
"816","chr9",83294136,83294569,434,"*",3.75,0.94,4.64,-3.7,1.1e-15,8.88e-15
"817","chr3",123356047,123356361,315,"*",3.78,1.09,4.67,-3.57,1.14e-15,9.21e-15
"818","chr2",42569609,42570040,432,"*",4.62,3.03,5.36,-2.33,1.16e-15,9.33e-15
"819","chr19",35809947,35810326,380,"*",3.71,0.86,4.6,-3.75,1.19e-15,9.55e-15
"820","chr4",115108818,115109330,513,"*",3.88,1.5,4.73,-3.24,1.22e-15,9.83e-15
"821","chrX",137119643,137120016,374,"*",3.7,0.83,4.6,-3.77,1.24e-15,9.94e-15
"822","chr15",90325413,90325888,476,"*",5.18,3.77,5.87,-2.1,1.24e-15,9.95e-15
"823","chr6",110876047,110876540,494,"*",4.03,2.06,4.83,-2.77,1.26e-15,1.01e-14
"824","chr9",33221265,33221609,345,"*",3.89,1.5,4.75,-3.24,1.27e-15,1.01e-14
"825","chr2",47426159,47426811,653,"*",3.7,0.56,4.62,-4.05,1.3e-15,1.04e-14
"826","chr10",82726116,82726720,605,"*",4.13,1.99,4.96,-2.97,1.32e-15,1.05e-14
"827","chr4",135220543,135220889,347,"*",3.79,-0.54,4.75,-5.29,1.42e-15,1.13e-14
"828","chr22",46887795,46888201,407,"*",4.6,2.95,5.35,-2.4,1.43e-15,1.14e-14
"829","chr6",150038671,150038996,326,"*",3.71,0.69,4.62,-3.93,1.43e-15,1.14e-14
"830","chr17",43978453,43978812,360,"*",3.7,0.53,4.62,-4.09,1.44e-15,1.14e-14
"831","chr9",97401318,97401735,418,"*",4.59,2.87,5.35,-2.48,1.44e-15,1.14e-14
"832","chr12",102090980,102091679,700,"*",4.61,2.81,5.39,-2.58,1.45e-15,1.15e-14
"833","chr19",4706810,4707250,441,"*",3.76,-0.36,4.71,-5.07,1.47e-15,1.17e-14
"834","chr10",43606246,43606559,314,"*",3.69,0.62,4.6,-3.98,1.56e-15,1.23e-14
"835","chr7",2579108,2579478,371,"*",4.44,2.5,5.24,-2.74,1.57e-15,1.24e-14
"836","chr8",68293199,68293611,413,"*",4.52,2.87,5.27,-2.4,1.57e-15,1.24e-14
"837","chr12",120517217,120517778,562,"*",3.86,1.49,4.71,-3.22,1.61e-15,1.27e-14
"838","chr20",43970734,43971276,543,"*",4.54,2.76,5.31,-2.55,1.62e-15,1.27e-14
"839","chr1",202304363,202304868,506,"*",4.05,2.12,4.85,-2.72,1.64e-15,1.29e-14
"840","chr5",134977512,134978044,533,"*",3.68,-0.2,4.63,-4.83,1.66e-15,1.3e-14
"841","chr7",45387441,45388004,564,"*",4,1.77,4.84,-3.07,1.76e-15,1.38e-14
"842","chr8",122788520,122788957,438,"*",4.53,3.01,5.26,-2.25,1.78e-15,1.4e-14
"843","chr10",127313313,127313771,459,"*",5.31,3.9,6.01,-2.11,1.81e-15,1.41e-14
"844","chr7",131244848,131245212,365,"*",3.78,1.11,4.66,-3.55,1.81e-15,1.42e-14
"845","chr17",60247731,60248073,343,"*",3.7,0.45,4.63,-4.18,1.85e-15,1.44e-14
"846","chr7",75936303,75936745,443,"*",4.46,2.65,5.24,-2.59,1.85e-15,1.44e-14
"847","chr2",168912763,168913177,415,"*",3.69,0.63,4.6,-3.98,1.89e-15,1.47e-14
"848","chr2",165379114,165379456,343,"*",3.72,1.19,4.59,-3.4,1.91e-15,1.48e-14
"849","chr3",175030466,175031017,552,"*",4.33,2.58,5.1,-2.52,1.92e-15,1.49e-14
"850","chr1",162135368,162135956,589,"*",3.74,1.19,4.61,-3.42,1.98e-15,1.53e-14
"851","chr13",39258635,39259388,754,"*",5.93,4.96,6.51,-1.55,2e-15,1.55e-14
"852","chr20",52726989,52727216,228,"*",3.72,0.95,4.61,-3.66,2.04e-15,1.58e-14
"853","chr15",71586965,71587710,746,"*",3.81,1.4,4.67,-3.26,2.05e-15,1.59e-14
"854","chr20",30628515,30628899,385,"*",4.8,3.25,5.53,-2.28,2.08e-15,1.6e-14
"855","chr3",189655172,189655849,678,"*",3.95,1.72,4.79,-3.07,2.08e-15,1.6e-14
"856","chr8",86919734,86920104,371,"*",3.63,0.45,4.55,-4.1,2.08e-15,1.6e-14
"857","chr7",2103268,2103644,377,"*",3.75,1.07,4.63,-3.56,2.09e-15,1.61e-14
"858","chr6",6759069,6759487,419,"*",4.62,3.07,5.34,-2.27,2.12e-15,1.63e-14
"859","chr3",123128490,123129132,643,"*",4.2,2.32,4.99,-2.67,2.16e-15,1.66e-14
"860","chr14",61982071,61982673,603,"*",3.72,1.16,4.59,-3.43,2.18e-15,1.67e-14
"861","chr5",99983276,99983667,392,"*",3.99,1.78,4.83,-3.05,2.19e-15,1.68e-14
"862","chr3",124781626,124782389,764,"*",5.19,3.8,5.88,-2.08,2.2e-15,1.69e-14
"863","chr19",35497264,35497892,629,"*",5.11,3.83,5.78,-1.95,2.32e-15,1.77e-14
"864","chr3",127803193,127803788,596,"*",4.75,3.3,5.46,-2.16,2.33e-15,1.78e-14
"865","chr17",47964593,47965338,746,"*",4.53,2.72,5.3,-2.58,2.34e-15,1.78e-14
"866","chr17",66437588,66437936,349,"*",3.65,0.33,4.57,-4.24,2.48e-15,1.89e-14
"867","chr7",131311443,131311805,363,"*",3.61,0.33,4.53,-4.2,2.5e-15,1.9e-14
"868","chr3",164098002,164098338,337,"*",3.64,0.71,4.54,-3.83,2.53e-15,1.92e-14
"869","chr17",38478452,38478962,511,"*",5.91,4.73,6.55,-1.83,2.55e-15,1.94e-14
"870","chr17",43120507,43121016,510,"*",4.97,3.62,5.65,-2.04,2.55e-15,1.94e-14
"871","chr11",16978225,16978719,495,"*",4.41,2.77,5.16,-2.39,2.6e-15,1.97e-14
"872","chr10",30971241,30971625,385,"*",4.11,2.11,4.92,-2.81,2.63e-15,1.99e-14
"873","chr4",1239196,1239627,432,"*",4.5,2.72,5.28,-2.56,2.75e-15,2.08e-14
"874","chr7",101616359,101616752,394,"*",4.38,2.51,5.16,-2.65,2.79e-15,2.11e-14
"875","chr2",164483098,164483532,435,"*",4.05,2.12,4.84,-2.72,2.81e-15,2.12e-14
"876","chr5",19891632,19892092,461,"*",4.04,1.68,4.89,-3.21,2.84e-15,2.14e-14
"877","chr17",39662803,39663305,503,"*",3.61,0.31,4.54,-4.22,2.85e-15,2.14e-14
"878","chr7",84158633,84159192,560,"*",5.09,3.83,5.75,-1.92,2.92e-15,2.19e-14
"879","chr7",157047748,157048402,655,"*",5.2,3.98,5.85,-1.87,2.92e-15,2.19e-14
"880","chr7",3283901,3284338,438,"*",4.19,2.35,4.97,-2.62,2.96e-15,2.22e-14
"881","chr3",15334310,15334980,671,"*",4.7,3.18,5.42,-2.24,3.02e-15,2.26e-14
"882","chrX",69440134,69440631,498,"*",4.96,3.41,5.68,-2.27,3.18e-15,2.37e-14
"883","chr16",23149197,23149577,381,"*",4.03,2.02,4.83,-2.82,3.19e-15,2.38e-14
"884","chr21",40895879,40896233,355,"*",3.78,-0.54,4.75,-5.29,3.27e-15,2.44e-14
"885","chr8",128878042,128878446,405,"*",3.79,1.23,4.66,-3.43,3.3e-15,2.46e-14
"886","chr2",129049039,129049401,363,"*",3.73,0.93,4.62,-3.69,3.32e-15,2.47e-14
"887","chr1",21568169,21568536,368,"*",3.81,1.25,4.69,-3.43,3.34e-15,2.48e-14
"888","chr18",9757700,9758105,406,"*",3.62,0.89,4.51,-3.62,3.35e-15,2.49e-14
"889","chr20",38153139,38153622,484,"*",3.86,1.73,4.68,-2.96,3.54e-15,2.63e-14
"890","chr15",96346650,96347048,399,"*",3.8,1.04,4.68,-3.65,3.54e-15,2.63e-14
"891","chr21",30881480,30882060,581,"*",3.76,-0.54,4.72,-5.26,3.6e-15,2.67e-14
"892","chr16",53133368,53133881,514,"*",4.39,2.55,5.17,-2.62,3.69e-15,2.73e-14
"893","chr1",111289017,111289535,519,"*",4.8,3.38,5.5,-2.12,3.93e-15,2.9e-14
"894","chr10",5530157,5530585,429,"*",3.69,0.95,4.58,-3.62,4.03e-15,2.97e-14
"895","chr22",29781462,29781944,483,"*",4.03,2.13,4.82,-2.69,4.04e-15,2.98e-14
"896","chr21",16714804,16715289,486,"*",3.68,-0.1,4.62,-4.73,4.06e-15,2.99e-14
"897","chr12",12692286,12692769,484,"*",3.6,0.11,4.53,-4.42,4.09e-15,3.01e-14
"898","chr15",64188952,64189408,457,"*",4.63,3.05,5.37,-2.32,4.13e-15,3.03e-14
"899","chr12",89858665,89859184,520,"*",5.26,4.01,5.92,-1.9,4.17e-15,3.06e-14
"900","chr2",138741218,138741677,460,"*",3.72,-0.54,4.68,-5.23,4.28e-15,3.14e-14
"901","chr16",20892516,20892841,326,"*",3.6,0.12,4.53,-4.41,4.44e-15,3.25e-14
"902","chr1",186121788,186122558,771,"*",5.45,4.18,6.12,-1.94,4.56e-15,3.34e-14
"903","chr4",991578,992020,443,"*",3.95,1.89,4.77,-2.88,4.64e-15,3.39e-14
"904","chr18",13539837,13540446,610,"*",4.37,2.8,5.11,-2.31,4.69e-15,3.42e-14
"905","chr5",17305945,17306661,717,"*",5.32,4.11,5.97,-1.86,4.69e-15,3.42e-14
"906","chr7",26598086,26598512,427,"*",3.83,1.37,4.69,-3.31,4.7e-15,3.42e-14
"907","chr6",88283880,88284290,411,"*",4.38,2.64,5.15,-2.51,4.72e-15,3.43e-14
"908","chr2",139193221,139193907,687,"*",5.63,4.54,6.24,-1.7,4.75e-15,3.45e-14
"909","chr20",44407736,44408456,721,"*",3.71,1.11,4.58,-3.48,4.79e-15,3.48e-14
"910","chr3",156391848,156392221,374,"*",3.67,0.72,4.57,-3.85,4.98e-15,3.61e-14
"911","chr15",93187432,93189189,1758,"*",6.43,5.44,7.01,-1.57,5.02e-15,3.64e-14
"912","chr12",53551702,53552169,468,"*",4.69,3.21,5.4,-2.19,5.13e-15,3.71e-14
"913","chr1",235011952,235012606,655,"*",4.84,3.46,5.54,-2.08,5.43e-15,3.92e-14
"914","chr14",96562171,96562621,451,"*",4.15,2.25,4.94,-2.69,5.45e-15,3.93e-14
"915","chr8",139957233,139957669,437,"*",4.83,3.49,5.51,-2.02,5.47e-15,3.94e-14
"916","chr10",134306969,134307336,368,"*",3.77,1.5,4.61,-3.11,5.54e-15,3.99e-14
"917","chr7",73236681,73237267,587,"*",4.39,2.53,5.18,-2.65,5.55e-15,3.99e-14
"918","chr2",182933627,182934061,435,"*",3.56,0.2,4.49,-4.29,5.63e-15,4.05e-14
"919","chr5",134746049,134746447,399,"*",3.64,-0.34,4.59,-4.94,5.73e-15,4.11e-14
"920","chr12",97949463,97949979,517,"*",3.56,-0.05,4.5,-4.55,5.74e-15,4.11e-14
"921","chr3",197079932,197080307,376,"*",3.66,0.98,4.55,-3.56,5.79e-15,4.15e-14
"922","chr14",88935356,88935725,370,"*",3.63,0.31,4.55,-4.24,5.83e-15,4.17e-14
"923","chr16",11799984,11800321,338,"*",3.57,0.41,4.48,-4.07,5.9e-15,4.22e-14
"924","chr12",15426871,15427214,344,"*",3.61,-0.36,4.57,-4.93,5.97e-15,4.26e-14
"925","chr7",128528844,128529466,623,"*",3.72,0.75,4.63,-3.87,6.05e-15,4.32e-14
"926","chr11",94564031,94564386,356,"*",3.57,0.55,4.48,-3.93,6.11e-15,4.35e-14
"927","chr17",57932138,57932378,241,"*",3.86,1.33,4.73,-3.4,6.16e-15,4.38e-14
"928","chr17",65463724,65464062,339,"*",3.55,-0.02,4.49,-4.5,6.23e-15,4.43e-14
"929","chr20",52739985,52740690,706,"*",7.31,6.36,7.88,-1.52,6.53e-15,4.63e-14
"930","chr18",33677021,33677416,396,"*",3.91,1.95,4.71,-2.76,6.56e-15,4.65e-14
"931","chr9",130784370,130784974,605,"*",6.02,4.89,6.65,-1.75,6.69e-15,4.74e-14
"932","chr8",98776385,98776989,605,"*",4.6,2.86,5.36,-2.51,6.82e-15,4.83e-14
"933","chr4",99609614,99610002,389,"*",3.92,1.75,4.74,-3,6.88e-15,4.86e-14
"934","chr7",107842027,107842532,506,"*",4.59,2.98,5.33,-2.35,6.89e-15,4.86e-14
"935","chr1",200119880,200120208,329,"*",3.57,0.55,4.48,-3.93,7e-15,4.94e-14
"936","chr20",42404599,42404968,370,"*",3.58,0.17,4.51,-4.34,7.06e-15,4.98e-14
"937","chr5",172992618,172993117,500,"*",3.68,1.13,4.55,-3.42,7.13e-15,5.02e-14
"938","chr10",121427398,121427858,461,"*",3.66,0.92,4.54,-3.62,7.39e-15,5.2e-14
"939","chr10",76659429,76660010,582,"*",3.7,0.55,4.62,-4.07,7.43e-15,5.22e-14
"940","chr10",90145328,90145672,345,"*",3.63,-0.36,4.58,-4.94,7.48e-15,5.25e-14
"941","chr10",80918238,80918621,384,"*",4.04,1.92,4.87,-2.94,7.53e-15,5.28e-14
"942","chr21",43476487,43477429,943,"*",5.24,3.86,5.93,-2.08,7.64e-15,5.35e-14
"943","chr4",56813311,56813653,343,"*",3.75,1.42,4.6,-3.18,8.02e-15,5.61e-14
"944","chr8",102132887,102133277,391,"*",4.23,2.54,4.99,-2.45,8.21e-15,5.74e-14
"945","chr4",757419,758035,617,"*",3.58,0.43,4.5,-4.07,8.23e-15,5.75e-14
"946","chr3",24310346,24310754,409,"*",3.68,-0.54,4.64,-5.18,8.37e-15,5.83e-14
"947","chr3",127255014,127255411,398,"*",3.58,0.65,4.49,-3.84,8.43e-15,5.87e-14
"948","chr10",32486375,32486863,489,"*",4.51,2.94,5.24,-2.3,8.69e-15,6.04e-14
"949","chr1",233840792,233841299,508,"*",3.71,1.13,4.58,-3.46,8.7e-15,6.05e-14
"950","chr8",125476704,125477081,378,"*",3.75,1.49,4.59,-3.09,8.73e-15,6.05e-14
"951","chr16",85505576,85505986,411,"*",3.73,1.48,4.57,-3.09,8.73e-15,6.05e-14
"952","chr20",52422404,52422694,291,"*",4.78,2.94,5.57,-2.63,8.73e-15,6.05e-14
"953","chr12",14972961,14973344,384,"*",3.57,0.22,4.5,-4.28,8.74e-15,6.05e-14
"954","chr1",182213579,182213974,396,"*",4.54,2.97,5.27,-2.3,8.89e-15,6.14e-14
"955","chr5",124745645,124746089,445,"*",3.83,1.52,4.68,-3.16,9.27e-15,6.4e-14
"956","chr1",15556310,15556724,415,"*",4.32,2.71,5.06,-2.35,1e-14,6.91e-14
"957","chr2",65604647,65605103,457,"*",3.62,0.58,4.53,-3.95,1e-14,6.92e-14
"958","chr2",130997178,130997544,367,"*",3.62,0.91,4.51,-3.6,1.01e-14,6.94e-14
"959","chr16",8773013,8773468,456,"*",4.78,3.32,5.49,-2.17,1.02e-14,7.02e-14
"960","chr16",20912815,20913223,409,"*",4.12,2.28,4.91,-2.63,1.04e-14,7.15e-14
"961","chr10",62835463,62835881,419,"*",3.55,0.4,4.46,-4.07,1.06e-14,7.26e-14
"962","chr8",102475011,102475298,288,"*",3.58,0.54,4.49,-3.95,1.09e-14,7.44e-14
"963","chr7",29645827,29646401,575,"*",3.94,1.9,4.75,-2.85,1.12e-14,7.64e-14
"964","chr8",99144718,99145077,360,"*",3.57,0.73,4.47,-3.74,1.12e-14,7.64e-14
"965","chr19",40986084,40986467,384,"*",3.65,0.57,4.56,-3.99,1.14e-14,7.81e-14
"966","chr6",151954694,151955115,422,"*",4.28,2.53,5.04,-2.51,1.16e-14,7.92e-14
"967","chr1",223385889,223386313,425,"*",4.29,2.67,5.03,-2.36,1.17e-14,7.98e-14
"968","chr20",55465087,55465472,386,"*",3.78,1.23,4.65,-3.43,1.19e-14,8.1e-14
"969","chr15",90236824,90237209,386,"*",3.98,1.9,4.8,-2.9,1.19e-14,8.11e-14
"970","chr6",155812498,155812945,448,"*",4.02,2.2,4.8,-2.6,1.24e-14,8.41e-14
"971","chrX",54774095,54774528,434,"*",4.33,2.37,5.13,-2.76,1.29e-14,8.79e-14
"972","chr3",161129851,161130325,475,"*",4.22,2.45,5,-2.54,1.3e-14,8.85e-14
"973","chr2",138951846,138952188,343,"*",3.5,0.11,4.43,-4.32,1.32e-14,8.93e-14
"974","chr6",158886911,158887319,409,"*",3.79,1.52,4.64,-3.12,1.35e-14,9.12e-14
"975","chr17",59527518,59527848,331,"*",4.71,3.02,5.47,-2.45,1.38e-14,9.31e-14
"976","chr13",28609181,28609632,452,"*",4.54,2.96,5.28,-2.31,1.39e-14,9.41e-14
"977","chr12",128933957,128934338,382,"*",3.52,0.28,4.44,-4.16,1.52e-14,1.03e-13
"978","chr11",108537996,108538326,331,"*",3.53,0.21,4.46,-4.25,1.53e-14,1.03e-13
"979","chr1",144989133,144989757,625,"*",6.19,5.25,6.75,-1.51,1.63e-14,1.1e-13
"980","chr21",18500653,18500991,339,"*",3.52,0.39,4.43,-4.05,1.64e-14,1.11e-13
"981","chr6",10598476,10598907,432,"*",3.85,1.8,4.66,-2.86,1.69e-14,1.13e-13
"982","chr14",75721696,75722047,352,"*",3.59,0.61,4.5,-3.89,1.74e-14,1.17e-13
"983","chr10",407201,407691,491,"*",3.66,0.63,4.57,-3.94,1.74e-14,1.17e-13
"984","chr14",94801219,94801553,335,"*",3.63,1.25,4.49,-3.23,1.79e-14,1.2e-13
"985","chr2",227149061,227149552,492,"*",3.52,0.23,4.44,-4.21,1.8e-14,1.21e-13
"986","chr16",10688279,10688785,507,"*",4.33,2.44,5.12,-2.67,1.83e-14,1.23e-13
"987","chr2",121002922,121003318,397,"*",3.89,1.7,4.72,-3.02,1.84e-14,1.23e-13
"988","chr2",237520206,237520622,417,"*",3.57,0.81,4.46,-3.65,1.85e-14,1.23e-13
"989","chr5",12841202,12841566,365,"*",3.52,0.46,4.43,-3.98,1.85e-14,1.24e-13
"990","chr17",61027472,61027811,340,"*",3.73,1.21,4.6,-3.39,1.86e-14,1.24e-13
"991","chr9",87605031,87605378,348,"*",3.74,1.59,4.56,-2.98,1.87e-14,1.24e-13
"992","chr18",10893191,10893563,373,"*",3.49,0.35,4.4,-4.05,1.92e-14,1.27e-13
"993","chr12",6373889,6374326,438,"*",4.73,3.39,5.41,-2.03,1.92e-14,1.27e-13
"994","chr1",48360344,48360835,492,"*",3.92,1.74,4.75,-3.01,1.97e-14,1.31e-13
"995","chr3",61620397,61620772,376,"*",5.17,3.81,5.85,-2.04,2.01e-14,1.33e-13
"996","chr21",40282373,40282716,344,"*",3.88,1.83,4.7,-2.87,2.09e-14,1.38e-13
"997","chr11",85541971,85542605,635,"*",4.7,3.27,5.4,-2.14,2.12e-14,1.4e-13
"998","chr9",2469915,2470279,365,"*",3.56,0.52,4.47,-3.95,2.13e-14,1.41e-13
"999","chr15",96259473,96259865,393,"*",3.5,0.24,4.42,-4.18,2.16e-14,1.42e-13
"1000","chr4",18429990,18430354,365,"*",3.51,0.35,4.42,-4.08,2.17e-14,1.43e-13
"1001","chrX",130723003,130723448,446,"*",3.49,0.39,4.41,-4.02,2.21e-14,1.46e-13
"1002","chr17",43201901,43202365,465,"*",3.58,0.57,4.49,-3.92,2.22e-14,1.46e-13
"1003","chr6",82509115,82509524,410,"*",3.85,1.45,4.7,-3.26,2.29e-14,1.51e-13
"1004","chrX",86594973,86595354,382,"*",3.56,0.8,4.45,-3.64,2.35e-14,1.54e-13
"1005","chr3",101872636,101872968,333,"*",3.96,1.88,4.78,-2.9,2.41e-14,1.58e-13
"1006","chr10",12192206,12192545,340,"*",3.53,0.58,4.43,-3.85,2.41e-14,1.58e-13
"1007","chr2",97630356,97630798,443,"*",3.52,0.44,4.43,-3.99,2.43e-14,1.59e-13
"1008","chr7",80569814,80570176,363,"*",3.53,0.22,4.45,-4.23,2.51e-14,1.65e-13
"1009","chr6",56300205,56300568,364,"*",3.89,1.69,4.73,-3.03,2.52e-14,1.65e-13
"1010","chr9",128276593,128276938,346,"*",3.91,1.84,4.73,-2.9,2.52e-14,1.65e-13
"1011","chr14",75725266,75725718,453,"*",4.05,2.03,4.86,-2.83,2.55e-14,1.67e-13
"1012","chr17",70680110,70680553,444,"*",4.36,2.71,5.1,-2.4,2.58e-14,1.68e-13
"1013","chr2",237640505,237641019,515,"*",3.57,0.63,4.47,-3.84,2.58e-14,1.68e-13
"1014","chr8",117010471,117010885,415,"*",4.1,2.27,4.88,-2.61,2.6e-14,1.69e-13
"1015","chr9",128070937,128071371,435,"*",4.14,2.38,4.91,-2.53,2.66e-14,1.73e-13
"1016","chr7",88753250,88753646,397,"*",4.03,1.94,4.85,-2.91,2.7e-14,1.75e-13
"1017","chr9",80204300,80204736,437,"*",4.6,3.12,5.32,-2.19,2.82e-14,1.83e-13
"1018","chr8",101758493,101759007,515,"*",5.07,3.74,5.74,-2,2.85e-14,1.85e-13
"1019","chr1",190254246,190254665,420,"*",4.04,2.24,4.82,-2.58,2.87e-14,1.86e-13
"1020","chr19",3389942,3390330,389,"*",4.41,2.68,5.18,-2.5,2.92e-14,1.89e-13
"1021","chr17",70636550,70636959,410,"*",4.16,2.24,4.95,-2.71,2.93e-14,1.89e-13
"1022","chr5",41432709,41433258,550,"*",4.05,2.25,4.82,-2.57,3e-14,1.94e-13
"1023","chr4",24483932,24484311,380,"*",4.07,2.2,4.86,-2.66,3.01e-14,1.94e-13
"1024","chr2",54801236,54801944,709,"*",4.63,3.19,5.34,-2.15,3.09e-14,1.99e-13
"1025","chr7",116764535,116765029,495,"*",5.64,4.57,6.25,-1.68,3.17e-14,2.04e-13
"1026","chr16",20311634,20311955,322,"*",3.56,0.99,4.43,-3.44,3.26e-14,2.09e-13
"1027","chr8",128812909,128813395,487,"*",6.21,5.17,6.8,-1.63,3.28e-14,2.1e-13
"1028","chr9",131955954,131956338,385,"*",4.14,2.4,4.9,-2.5,3.34e-14,2.14e-13
"1029","chr10",95501008,95501488,481,"*",4.05,1.99,4.87,-2.88,3.38e-14,2.17e-13
"1030","chr1",31659434,31659785,352,"*",3.62,0.81,4.51,-3.71,3.44e-14,2.2e-13
"1031","chrX",40437165,40437749,585,"*",4.52,3.09,5.22,-2.13,3.49e-14,2.23e-13
"1032","chr20",55822748,55823060,313,"*",4.96,3.44,5.68,-2.25,3.49e-14,2.23e-13
"1033","chr1",182922613,182922906,294,"*",3.48,0.08,4.41,-4.33,3.5e-14,2.24e-13
"1034","chr5",78489524,78489959,436,"*",4.26,2.72,4.99,-2.27,3.57e-14,2.27e-13
"1035","chr11",10416185,10416731,547,"*",4.15,2.28,4.94,-2.66,3.67e-14,2.34e-13
"1036","chr2",42237899,42238252,354,"*",3.6,0.55,4.51,-3.96,3.78e-14,2.41e-13
"1037","chr14",64701646,64701993,348,"*",3.7,1,4.58,-3.59,3.8e-14,2.42e-13
"1038","chr11",70606455,70606756,302,"*",3.48,0.5,4.38,-3.88,3.83e-14,2.44e-13
"1039","chr11",85539159,85539984,826,"*",4.65,3.25,5.35,-2.1,3.87e-14,2.46e-13
"1040","chr3",58374377,58374747,371,"*",3.46,0.33,4.37,-4.04,4e-14,2.53e-13
"1041","chr16",25051659,25052232,574,"*",4.84,3.51,5.52,-2.01,4.22e-14,2.67e-13
"1042","chr3",61613438,61613859,422,"*",5.67,4.67,6.26,-1.59,4.26e-14,2.7e-13
"1043","chr12",13036293,13036765,473,"*",4.77,3.44,5.45,-2.01,4.38e-14,2.77e-13
"1044","chr20",46924221,46924485,265,"*",3.73,1.66,4.55,-2.88,4.45e-14,2.81e-13
"1045","chr16",23551509,23552063,555,"*",5.37,4.3,5.98,-1.68,4.48e-14,2.83e-13
"1046","chr10",29413732,29414336,605,"*",6.02,5.08,6.59,-1.5,4.48e-14,2.83e-13
"1047","chr2",26980820,26981466,647,"*",4.24,2.58,4.99,-2.41,4.49e-14,2.83e-13
"1048","chr10",112549560,112549960,401,"*",4.21,2.62,4.95,-2.34,4.55e-14,2.87e-13
"1049","chr17",57922855,57923432,578,"*",6.12,5.19,6.68,-1.5,4.6e-14,2.89e-13
"1050","chr17",59313135,59313729,595,"*",6.46,5.45,7.05,-1.59,4.66e-14,2.93e-13
"1051","chr3",120379995,120380508,514,"*",4.66,3.24,5.37,-2.12,4.78e-14,3e-13
"1052","chr11",21971383,21971982,600,"*",3.93,1.85,4.75,-2.9,4.87e-14,3.05e-13
"1053","chr5",131706867,131707224,358,"*",3.79,1.67,4.62,-2.95,4.95e-14,3.1e-13
"1054","chr8",126081975,126082748,774,"*",5.32,4.11,5.96,-1.85,4.99e-14,3.12e-13
"1055","chr14",100477994,100478411,418,"*",3.44,-0.05,4.38,-4.43,5e-14,3.12e-13
"1056","chr5",122188339,122188744,406,"*",3.51,0.58,4.41,-3.84,5.09e-14,3.18e-13
"1057","chr16",87868148,87868482,335,"*",3.95,2,4.76,-2.76,5.1e-14,3.18e-13
"1058","chr8",141267958,141268405,448,"*",3.61,1.11,4.48,-3.37,5.1e-14,3.18e-13
"1059","chr3",61993123,61993715,593,"*",5.25,4.1,5.88,-1.78,5.16e-14,3.21e-13
"1060","chr8",123798111,123798685,575,"*",4.13,2.38,4.9,-2.53,5.24e-14,3.26e-13
"1061","chrX",97985215,97985612,398,"*",3.45,0.28,4.37,-4.08,5.52e-14,3.43e-13
"1062","chr12",27776596,27777119,524,"*",4.24,2.59,4.98,-2.39,5.56e-14,3.45e-13
"1063","chr1",212251360,212251724,365,"*",3.47,-0.05,4.41,-4.46,5.64e-14,3.5e-13
"1064","chr19",34370736,34371365,630,"*",3.93,1.98,4.73,-2.75,6.03e-14,3.74e-13
"1065","chrX",153877855,153878313,459,"*",3.98,1.78,4.82,-3.04,6.17e-14,3.82e-13
"1066","chr6",91379530,91379893,364,"*",3.57,1.05,4.43,-3.38,6.18e-14,3.83e-13
"1067","chr10",43577571,43577942,372,"*",3.71,1.23,4.57,-3.35,6.22e-14,3.85e-13
"1068","chr3",176121211,176121690,480,"*",3.77,1.65,4.59,-2.95,6.24e-14,3.85e-13
