"","seqnames","start","end","width","strand","Conc","Conc_none","Conc_Estrogen","Fold","p.value","FDR"
"2759","chr9",87656808,87657049,242,"*",3.19,2.47,3.67,-1.2,0.0947,0.498
"2760","chr12",33571722,33571989,268,"*",3.1,2.36,3.59,-1.22,0.0947,0.498
"2761","chr2",110401912,110402777,866,"*",3.46,3.91,2.8,1.12,0.0948,0.498
"2762","chr10",32633388,32633752,365,"*",2.05,1.01,2.65,-1.64,0.0948,0.498
"2763","chr9",130748517,130749515,999,"*",3.6,2.95,4.05,-1.11,0.0948,0.498
"2764","chr19",48076046,48077234,1189,"*",5.5,5.18,5.77,-0.59,0.0949,0.498
"2765","chr4",163327864,163328719,856,"*",2.23,2.81,1.23,1.59,0.0949,0.498
"2766","chr1",155171790,155171981,192,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2767","chr11",47881820,47882020,201,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2768","chr11",71505774,71506281,508,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2769","chr15",90768460,90769107,648,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2770","chr19",44624076,44624320,245,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2771","chr20",32922154,32923400,1247,"*",1.2,-0.23,1.9,-2.13,0.0951,1
"2772","chr7",43506761,43507008,248,"*",3.08,2.4,3.54,-1.14,0.0952,0.499
"2773","chr7",103020152,103020388,237,"*",2.65,1.79,3.19,-1.4,0.0952,0.5
"2774","chr11",14393663,14393860,198,"*",2.09,0.97,2.71,-1.74,0.0953,0.5
"2775","chr20",17600277,17600469,193,"*",2.75,2,3.25,-1.25,0.0953,0.5
"2776","chr12",115517706,115517896,191,"*",2.3,1.25,2.9,-1.65,0.0954,0.5
"2777","chr12",53732684,53732863,180,"*",2.17,1.19,2.75,-1.56,0.0954,0.5
"2778","chr20",49482034,49482244,211,"*",2.34,1.37,2.92,-1.55,0.0954,0.5
"2779","chr1",200964975,200965173,199,"*",1.81,0.6,2.45,-1.85,0.0955,1
"2780","chr2",136141308,136141498,191,"*",2.13,1.13,2.72,-1.59,0.0956,0.5
"2781","chr2",75070405,75073605,3201,"*",4.56,4.08,4.92,-0.84,0.0958,0.501
"2782","chr8",48454245,48454878,634,"*",2.05,0.97,2.66,-1.69,0.0958,0.501
"2783","chr13",74002989,74003755,767,"*",3.8,4.18,3.28,0.9,0.0958,0.501
"2784","chr5",37881257,37881444,188,"*",1.18,-0.23,1.88,-2.11,0.0959,1
"2785","chr2",71674015,71674203,189,"*",1.99,0.87,2.61,-1.74,0.0959,0.501
"2786","chr2",163118024,163118296,273,"*",2.73,1.96,3.23,-1.27,0.0959,0.501
"2787","chr3",49141817,49142851,1035,"*",4.19,3.71,4.55,-0.84,0.0959,0.501
"2788","chr2",8579053,8579261,209,"*",2.07,1.01,2.67,-1.66,0.096,0.501
"2789","chr2",19336716,19337533,818,"*",3.83,4.22,3.28,0.94,0.0962,0.501
"2790","chr9",86207533,86207744,212,"*",1.67,0.46,2.32,-1.86,0.0963,1
"2791","chr19",796272,798082,1811,"*",6.22,5.94,6.46,-0.52,0.0963,0.501
"2792","chr8",94758627,94758806,180,"*",3.17,2.53,3.62,-1.09,0.0963,0.501
"2793","chr18",60402296,60402513,218,"*",3.32,2.72,3.74,-1.02,0.0963,0.501
"2794","chr9",130843835,130845026,1192,"*",3.18,2.45,3.66,-1.21,0.0964,0.501
"2795","chr19",16577118,16577488,371,"*",2.64,1.79,3.17,-1.37,0.0964,0.501
"2796","chr18",3065889,3066109,221,"*",2.95,2.26,3.41,-1.15,0.0965,0.501
"2797","chr5",157158359,157159083,725,"*",4.36,3.92,4.69,-0.77,0.0966,0.501
"2798","chr20",56186645,56186835,191,"*",2.53,1.62,3.09,-1.47,0.0966,0.501
"2799","chr4",92328973,92329152,180,"*",2.34,1.42,2.9,-1.47,0.0966,0.501
"2800","chr5",114742439,114742618,180,"*",2.86,2.13,3.34,-1.21,0.0966,0.501
"2801","chr13",30970712,30970893,182,"*",2.16,1.05,2.78,-1.73,0.0966,0.501
"2802","chr10",43517945,43518220,276,"*",2.5,1.54,3.07,-1.53,0.0967,0.501
"2803","chr19",10681410,10681694,285,"*",2.79,2.02,3.29,-1.27,0.0968,0.501
"2804","chr17",39569748,39571703,1956,"*",5.3,4.97,5.57,-0.6,0.0968,0.501
"2805","chr12",125498618,125499205,588,"*",3.56,2.99,3.97,-0.97,0.0968,0.501
"2806","chr19",9937131,9938733,1603,"*",5.02,4.65,5.31,-0.66,0.0969,0.501
"2807","chr21",36639498,36639811,314,"*",2.52,1.62,3.07,-1.46,0.0969,0.501
"2808","chr2",232164186,232165715,1530,"*",4.24,3.71,4.62,-0.92,0.0969,0.501
"2809","chr6",106266402,106266581,180,"*",1.65,0.42,2.3,-1.88,0.0969,1
"2810","chr2",101048286,101048608,323,"*",2.5,1.57,3.07,-1.49,0.097,0.502
"2811","chr10",30876684,30877055,372,"*",2.61,1.65,3.18,-1.53,0.0971,0.502
"2812","chr17",27482278,27482457,180,"*",1.71,0.51,2.35,-1.84,0.0971,1
"2813","chr1",180621269,180621510,242,"*",1.72,0.55,2.35,-1.8,0.0971,1
"2814","chr3",39444432,39445019,588,"*",2.97,2.24,3.46,-1.21,0.0971,0.502
"2815","chr13",21752497,21752794,298,"*",3.68,3.06,4.11,-1.05,0.0972,0.502
"2816","chr19",39624320,39624548,229,"*",1.74,0.42,2.42,-2,0.0972,1
"2817","chr12",80030072,80030256,185,"*",3,2.29,3.47,-1.18,0.0973,0.502
"2818","chr19",19000508,19000723,216,"*",2.32,1.33,2.9,-1.57,0.0974,0.502
"2819","chr12",110815904,110816083,180,"*",1.41,0.13,2.08,-1.95,0.0977,1
"2820","chr12",24921396,24921672,277,"*",2.66,1.79,3.19,-1.4,0.0978,0.504
"2821","chr22",30647802,30649309,1508,"*",4.41,3.96,4.74,-0.78,0.098,0.505
"2822","chr14",105848374,105848746,373,"*",1.14,-0.23,1.84,-2.07,0.098,1
"2823","chr5",131992104,131992339,236,"*",3.02,2.22,3.53,-1.3,0.098,0.505
"2824","chr17",79153010,79153189,180,"*",2.49,1.48,3.07,-1.59,0.0981,0.505
"2825","chr8",144661516,144662082,567,"*",1.63,0.25,2.32,-2.08,0.0981,1
"2826","chr11",64538963,64539443,481,"*",1.82,0.6,2.46,-1.86,0.0982,1
"2827","chr17",76222958,76223435,478,"*",2.47,1.62,3.01,-1.38,0.0984,0.506
"2828","chr4",30318594,30318817,224,"*",3.39,2.81,3.81,-1,0.0984,0.506
"2829","chr4",8527642,8528552,911,"*",3.05,2.38,3.5,-1.13,0.0984,0.506
"2830","chr16",724936,725494,559,"*",3.23,2.48,3.72,-1.24,0.0984,0.506
"2831","chr8",144504197,144504593,397,"*",2.99,2.24,3.48,-1.24,0.0984,0.506
"2832","chr22",50246130,50247203,1074,"*",3.91,3.22,4.38,-1.16,0.0984,0.506
"2833","chr10",102811904,102812759,856,"*",3.51,2.85,3.96,-1.11,0.0985,0.506
"2834","chr2",85385863,85386147,285,"*",3.22,2.48,3.7,-1.22,0.0986,0.506
"2835","chr7",118003764,118003975,212,"*",2.7,1.87,3.23,-1.36,0.0986,0.506
"2836","chr10",28665105,28665628,524,"*",2.65,1.71,3.21,-1.49,0.0986,0.506
"2837","chr4",140224842,140225524,683,"*",3.1,3.55,2.44,1.11,0.0987,0.506
"2838","chr19",35531485,35533202,1718,"*",5.57,5.23,5.84,-0.62,0.0987,0.506
"2839","chrX",44342757,44343430,674,"*",1.2,1.91,-0.28,2.19,0.0988,1
"2840","chr12",48572627,48572836,210,"*",1.16,-0.23,1.85,-2.08,0.0988,1
"2841","chr15",39826612,39826791,180,"*",1.16,-0.23,1.85,-2.08,0.0988,1
"2842","chr19",47818658,47819058,401,"*",1.16,-0.23,1.85,-2.08,0.0988,1
"2843","chr1",228560735,228560995,261,"*",2.81,2,3.33,-1.33,0.0989,0.506
"2844","chr12",104698601,104699727,1127,"*",1.32,-0.23,2.05,-2.28,0.0989,1
"2845","chr2",172051827,172052123,297,"*",2.36,1.4,2.94,-1.53,0.0989,0.506
"2846","chr14",61507003,61507247,245,"*",2.89,2.17,3.37,-1.2,0.099,0.506
"2847","chr12",100621215,100621760,546,"*",2.11,2.73,0.99,1.74,0.099,0.506
"2848","chr10",6149351,6149640,290,"*",2.37,1.45,2.92,-1.47,0.0991,0.507
"2849","chr12",129167156,129167357,202,"*",3.05,2.38,3.5,-1.12,0.0992,0.507
"2850","chr8",27493754,27494309,556,"*",3.72,3.17,4.12,-0.95,0.0993,0.507
"2851","chr18",8340064,8340243,180,"*",1.99,0.94,2.6,-1.66,0.0994,0.507
"2852","chr10",63528464,63528683,220,"*",3.76,3.23,4.14,-0.91,0.0994,0.507
"2853","chr17",63308629,63308838,210,"*",1.94,0.89,2.54,-1.65,0.0994,1
"2854","chr5",108141979,108142260,282,"*",1.49,0.18,2.17,-1.99,0.0994,1
"2855","chr7",45131998,45132314,317,"*",1.49,0.18,2.17,-1.99,0.0994,1
"2856","chr2",20416603,20417789,1187,"*",3.32,2.5,3.84,-1.34,0.0995,0.507
"2857","chr1",55229666,55230163,498,"*",3.87,3.35,4.25,-0.9,0.0995,0.507
"2858","chr10",8120583,8121753,1171,"*",3.77,4.23,3.09,1.14,0.0997,0.507
"2859","chr1",174686422,174686607,186,"*",2.46,1.48,3.04,-1.56,0.0998,0.507
"2860","chr11",78907854,78908057,204,"*",2.1,1,2.72,-1.71,0.0998,0.507
"2861","chr10",94739536,94739733,198,"*",2.77,1.97,3.28,-1.31,0.0998,0.507
"2862","chrX",12822824,12823081,258,"*",3.17,2.48,3.63,-1.15,0.0998,0.507
"2863","chr9",96205921,96206947,1027,"*",3.8,4.22,3.2,1.02,0.0998,0.507
"2864","chr4",9005778,9006178,401,"*",2.66,1.9,3.15,-1.25,0.0999,0.507
"2865","chr19",40928635,40929471,837,"*",2.31,1.26,2.91,-1.65,0.0999,0.507
"2866","chr8",70555927,70556207,281,"*",2.64,1.84,3.16,-1.32,0.0999,0.507
"2867","chr2",138433571,138433750,180,"*",2.38,1.47,2.93,-1.46,0.1,0.507
"2868","chr2",11003314,11003619,306,"*",2.77,1.92,3.31,-1.38,0.1,0.507
"2869","chr2",199830392,199830609,218,"*",2.74,1.82,3.3,-1.48,0.1,0.507
"2870","chr9",94452910,94453179,270,"*",1.55,0.13,2.26,-2.12,0.1,1
"2871","chrX",70712295,70713611,1317,"*",4.84,4.46,5.14,-0.68,0.1,0.507
"2872","chr3",158489191,158490566,1376,"*",3.38,3.84,2.71,1.13,0.1,0.507
"2873","chr11",66516404,66517302,899,"*",2.87,3.4,2.01,1.39,0.1,0.507
"2874","chr3",25691115,25691294,180,"*",2.06,1.01,2.66,-1.65,0.1,0.507
"2875","chr3",9690289,9692591,2303,"*",5.6,5.23,5.89,-0.66,0.1,0.507
"2876","chr15",90479976,90480682,707,"*",2.61,3.16,1.72,1.44,0.1,0.507
"2877","chr13",107219544,107220536,993,"*",5.3,4.95,5.58,-0.63,0.1,0.507
"2878","chr3",48469388,48471885,2498,"*",6.48,6.22,6.7,-0.47,0.1,0.507
"2879","chr2",133466043,133466341,299,"*",2.2,1.2,2.79,-1.59,0.1,0.507
"2880","chr14",101143811,101144173,363,"*",2.02,0.89,2.64,-1.75,0.1,0.507
"2881","chr12",14360021,14362119,2099,"*",4.45,4.79,4,0.78,0.101,0.507
"2882","chr1",119262165,119262476,312,"*",3.08,3.59,2.28,1.31,0.101,0.507
"2883","chr20",50467669,50468010,342,"*",3.23,3.68,2.57,1.11,0.101,0.507
"2884","chr10",95231303,95233016,1714,"*",3.08,2.21,3.61,-1.41,0.101,0.507
"2885","chr17",25959224,25959525,302,"*",3.16,2.39,3.65,-1.26,0.101,0.507
"2886","chr9",85414158,85414339,182,"*",2.37,1.45,2.92,-1.47,0.101,0.507
"2887","chr16",68439611,68440910,1300,"*",5.11,4.78,5.39,-0.61,0.101,0.507
"2888","chr3",15476279,15476474,196,"*",2.89,2.19,3.36,-1.17,0.101,0.507
"2889","chr7",100652549,100652776,228,"*",3.29,2.65,3.73,-1.09,0.101,0.507
"2890","chr2",2696454,2696678,225,"*",2.45,1.55,3,-1.46,0.101,0.507
"2891","chr10",115317801,115318315,515,"*",2.67,1.87,3.18,-1.31,0.101,0.507
"2892","chr5",132360892,132362236,1345,"*",4.84,4.48,5.13,-0.66,0.101,0.507
"2893","chr9",19208230,19208665,436,"*",2.94,3.4,2.26,1.13,0.101,0.507
"2894","chr16",8779394,8780016,623,"*",1.71,0.42,2.37,-1.95,0.101,1
"2895","chr2",1304975,1305195,221,"*",3.01,2.35,3.47,-1.12,0.101,0.508
"2896","chr11",12504985,12505604,620,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2897","chr11",119326519,119326748,230,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2898","chr17",47779614,47780130,517,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2899","chr19",38764600,38766120,1521,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2900","chr20",46394951,46395147,197,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2901","chr21",46959344,46959541,198,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2902","chr4",1989106,1989533,428,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2903","chr4",111166819,111167030,212,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2904","chr4",141646621,141647382,762,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2905","chr5",43696528,43696788,261,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2906","chr6",17233829,17234008,180,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2907","chr6",83988673,83988858,186,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2908","chr8",145608392,145608767,376,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2909","chr9",94600315,94600817,503,"*",1.23,-0.23,1.94,-2.17,0.101,1
"2910","chr12",51012870,51013565,696,"*",3.22,3.7,2.5,1.21,0.101,0.509
"2911","chr17",47953278,47954217,940,"*",3.46,2.87,3.88,-1.01,0.102,0.51
"2912","chr3",127386093,127386308,216,"*",1.94,0.89,2.54,-1.65,0.102,1
"2913","chr12",80163247,80163479,233,"*",2.71,1.9,3.22,-1.32,0.102,0.511
"2914","chr5",122821043,122821332,290,"*",3.33,2.7,3.76,-1.06,0.102,0.511
"2915","chr14",91806279,91806504,226,"*",1.47,0.13,2.15,-2.02,0.102,1
"2916","chr3",195782653,195782938,286,"*",1.47,0.13,2.15,-2.02,0.102,1
"2917","chr16",1496787,1497390,604,"*",2.09,0.92,2.73,-1.81,0.102,0.511
"2918","chr16",688418,688714,297,"*",1.15,-0.23,1.84,-2.07,0.102,1
"2919","chr17",17247685,17247877,193,"*",1.15,-0.23,1.84,-2.07,0.102,1
"2920","chr20",58875098,58875742,645,"*",3.71,4.15,3.07,1.09,0.102,0.511
"2921","chr22",38518101,38518342,242,"*",3.02,2.28,3.5,-1.22,0.102,0.511
"2922","chr19",3538555,3538739,185,"*",1.45,0.13,2.12,-1.99,0.102,1
"2923","chr1",169336431,169337942,1512,"*",4.89,4.53,5.18,-0.65,0.102,0.511
"2924","chr2",242701661,242702646,986,"*",3.42,2.78,3.86,-1.09,0.102,0.511
"2925","chr5",458898,459238,341,"*",2.76,1.97,3.27,-1.3,0.102,0.511
"2926","chr12",58234611,58234836,226,"*",2.49,1.53,3.06,-1.53,0.102,0.511
"2927","chr17",77068589,77068854,266,"*",2.71,1.9,3.22,-1.32,0.102,0.511
"2928","chr13",114176461,114176640,180,"*",1.68,0.42,2.34,-1.92,0.102,1
"2929","chr20",43419692,43419888,197,"*",1.18,-0.23,1.88,-2.11,0.102,1
"2930","chr4",114062726,114063577,852,"*",1.18,-0.23,1.88,-2.11,0.102,1
"2931","chr6",27043531,27043721,191,"*",1.18,-0.23,1.88,-2.11,0.102,1
"2932","chr18",11305693,11305919,227,"*",1.48,0.18,2.15,-1.97,0.102,1
"2933","chr11",94852716,94853172,457,"*",3.5,2.75,4,-1.25,0.102,0.512
"2934","chr10",30893849,30895966,2118,"*",4.48,4.81,4.06,0.75,0.102,0.512
"2935","chr10",95205939,95206379,441,"*",1.52,0.18,2.21,-2.03,0.103,1
"2936","chr4",55470060,55470327,268,"*",3.08,2.42,3.53,-1.11,0.103,0.512
"2937","chr16",34281771,34282042,272,"*",3.27,2.65,3.7,-1.06,0.103,0.512
"2938","chr19",5192998,5193227,230,"*",1.13,-0.23,1.81,-2.04,0.103,1
"2939","chr1",7022135,7022379,245,"*",1.18,-0.23,1.88,-2.11,0.103,1
"2940","chr12",133325033,133325251,219,"*",1.18,-0.23,1.88,-2.11,0.103,1
"2941","chr5",176098738,176099131,394,"*",1.18,-0.23,1.88,-2.11,0.103,1
"2942","chr13",46708878,46709693,816,"*",3.24,2.5,3.73,-1.23,0.103,0.512
"2943","chr14",101788895,101789562,668,"*",3.15,2.47,3.61,-1.14,0.103,0.512
"2944","chr21",46865121,46865345,225,"*",2.32,1.21,2.94,-1.73,0.103,0.513
"2945","chr22",30654047,30654330,284,"*",3.29,2.66,3.73,-1.07,0.103,0.513
"2946","chr1",17045443,17046237,795,"*",2.68,1.71,3.25,-1.54,0.103,0.513
"2947","chr19",46119624,46119953,330,"*",1.89,0.77,2.52,-1.75,0.103,1
"2948","chr17",53337194,53337492,299,"*",3.05,2.38,3.51,-1.12,0.103,0.513
"2949","chr11",117595879,117596068,190,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2950","chr2",43029,43322,294,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2951","chr2",223733540,223733719,180,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2952","chr20",61088529,61088748,220,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2953","chr4",75544046,75544557,512,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2954","chr8",118535483,118535675,193,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2955","chr8",143699660,143699839,180,"*",1.14,-0.23,1.83,-2.06,0.103,1
"2956","chr9",79526923,79527190,268,"*",1.84,0.66,2.48,-1.82,0.103,1
"2957","chr2",85811548,85812748,1201,"*",2.85,3.4,1.94,1.46,0.103,0.513
"2958","chr19",53635615,53635885,271,"*",2.77,1.97,3.28,-1.31,0.103,0.513
"2959","chrX",77818530,77818814,285,"*",2.84,2.08,3.34,-1.25,0.103,0.513
"2960","chr22",50249196,50250189,994,"*",3.29,2.59,3.75,-1.17,0.103,0.513
"2961","chr22",36736730,36736930,201,"*",2.16,1.13,2.76,-1.63,0.103,0.513
"2962","chr11",123457932,123458116,185,"*",3.31,2.71,3.73,-1.02,0.103,0.513
"2963","chr14",49166813,49166998,186,"*",1.72,0.6,2.35,-1.74,0.103,1
"2964","chr13",21900066,21900841,776,"*",3.97,3.44,4.36,-0.92,0.103,0.513
"2965","chr18",75952109,75952355,247,"*",2.73,1.97,3.23,-1.26,0.104,0.513
"2966","chr15",90814538,90814751,214,"*",2.53,1.53,3.11,-1.58,0.104,0.513
"2967","chr14",100066251,100066519,269,"*",1.56,0.18,2.26,-2.08,0.104,1
"2968","chr7",48018588,48019405,818,"*",4.75,4.36,5.05,-0.68,0.104,0.514
"2969","chr1",10319545,10319819,275,"*",2.47,1.53,3.04,-1.51,0.104,0.514
"2970","chr10",116697941,116699026,1086,"*",4.25,3.66,4.67,-1.01,0.104,0.514
"2971","chr5",149586181,149586481,301,"*",1.88,0.66,2.53,-1.87,0.104,1
"2972","chr7",67987049,67987228,180,"*",2.37,1.47,2.92,-1.45,0.104,0.515
"2973","chr7",56433508,56435241,1734,"*",2.11,1.11,2.7,-1.59,0.104,0.515
"2974","chr14",91593036,91594596,1561,"*",4.71,5.02,4.29,0.73,0.104,0.515
"2975","chr9",129132708,129133811,1104,"*",3.78,4.22,3.14,1.08,0.104,0.515
"2976","chr8",54842948,54844149,1202,"*",2.22,2.83,1.13,1.7,0.104,0.515
"2977","chr2",73310279,73311350,1072,"*",1.83,0.49,2.51,-2.02,0.104,1
"2978","chr9",129096004,129096492,489,"*",2.77,1.89,3.31,-1.42,0.104,0.515
"2979","chr22",40058849,40059111,263,"*",2.47,1.48,3.05,-1.56,0.104,0.515
"2980","chr16",48269699,48269912,214,"*",2.62,1.85,3.13,-1.28,0.105,0.516
"2981","chr9",100585328,100585574,247,"*",3.52,2.97,3.92,-0.94,0.105,0.516
"2982","chr1",85741041,85742231,1191,"*",4.26,3.78,4.62,-0.84,0.105,0.516
"2983","chr2",85121273,85121573,301,"*",2.63,1.71,3.19,-1.48,0.105,0.516
"2984","chr7",44645297,44646890,1594,"*",4.6,4.14,4.95,-0.81,0.105,0.516
"2985","chr6",77552294,77552545,252,"*",3.42,2.82,3.84,-1.01,0.105,0.517
"2986","chr6",156938583,156938812,230,"*",1.97,0.87,2.58,-1.71,0.105,0.517
"2987","chr13",45496498,45496962,465,"*",2.96,2.18,3.47,-1.29,0.105,0.518
"2988","chr11",47212536,47213118,583,"*",1.59,2.25,0.37,1.88,0.105,1
"2989","chr5",81410196,81410480,285,"*",3,2.35,3.45,-1.1,0.105,0.518
"2990","chr16",10922735,10922939,205,"*",1.48,0.18,2.15,-1.98,0.105,1
"2991","chr7",21098877,21099125,249,"*",2.26,1.34,2.81,-1.48,0.106,0.52
"2992","chrX",98974224,98974437,214,"*",2.93,2.27,3.39,-1.12,0.106,0.52
"2993","chr1",19054534,19054741,208,"*",3.29,2.68,3.72,-1.04,0.106,0.521
"2994","chr14",105498095,105501904,3810,"*",6.86,6.63,7.05,-0.43,0.106,0.521
"2995","chr8",49049193,49049468,276,"*",2.25,1.27,2.82,-1.55,0.106,0.521
"2996","chr12",125043706,125044439,734,"*",1.79,2.41,0.67,1.74,0.106,1
"2997","chrX",108962489,108962759,271,"*",3.27,2.62,3.72,-1.11,0.106,0.521
"2998","chr13",19844618,19844839,222,"*",2.78,2.05,3.27,-1.21,0.106,0.521
"2999","chr16",51198650,51198848,199,"*",1.47,0.18,2.15,-1.97,0.106,1
"3000","chr1",145682988,145683169,182,"*",3.04,2.4,3.48,-1.08,0.106,0.521
"3001","chr19",19651305,19652085,781,"*",2.43,1.39,3.03,-1.64,0.106,0.521
"3002","chr18",5038776,5039000,225,"*",3.05,2.38,3.5,-1.12,0.106,0.521
"3003","chr6",77185042,77185279,238,"*",2.84,2.11,3.33,-1.22,0.106,0.521
"3004","chr21",33132614,33132849,236,"*",1.97,0.87,2.59,-1.72,0.107,0.521
"3005","chr5",144355167,144355381,215,"*",3.04,2.38,3.49,-1.11,0.107,0.521
"3006","chr18",19980130,19980347,218,"*",1.66,0.51,2.29,-1.78,0.107,1
"3007","chr20",56002937,56003203,267,"*",1.73,0.49,2.38,-1.89,0.107,1
"3008","chr11",77751185,77752294,1110,"*",3.26,2.62,3.7,-1.08,0.107,0.521
"3009","chr17",45569020,45570706,1687,"*",3.84,3.13,4.31,-1.17,0.107,0.521
"3010","chr17",62999663,63000703,1041,"*",3.53,3.98,2.89,1.09,0.107,0.521
"3011","chr17",38616764,38617010,247,"*",2.26,1.29,2.84,-1.55,0.107,0.521
"3012","chr16",70475686,70475904,219,"*",2.8,2.01,3.3,-1.29,0.107,0.522
"3013","chr9",136821063,136822760,1698,"*",3.14,2.33,3.66,-1.33,0.107,0.522
"3014","chr12",73209120,73209324,205,"*",1.44,0.18,2.11,-1.93,0.107,1
"3015","chr4",786335,786608,274,"*",1.44,0.18,2.11,-1.93,0.107,1
"3016","chr11",95656910,95657518,609,"*",3.61,2.93,4.07,-1.14,0.107,0.523
"3017","chr20",51806847,51807123,277,"*",2.23,1.29,2.8,-1.51,0.107,0.523
"3018","chr12",45654153,45655448,1296,"*",3.68,3.1,4.09,-0.99,0.107,0.523
"3019","chr16",4432216,4432802,587,"*",3.23,2.54,3.7,-1.16,0.107,0.523
"3020","chrX",19703848,19704044,197,"*",2.7,1.84,3.24,-1.39,0.107,0.523
"3021","chrX",135991183,135992367,1185,"*",4.96,4.61,5.25,-0.63,0.108,0.524
"3022","chr2",99113797,99113978,182,"*",2.68,1.91,3.18,-1.27,0.108,0.524
"3023","chr10",44762668,44762946,279,"*",2.8,2.04,3.3,-1.26,0.108,0.524
"3024","chr13",90220561,90220805,245,"*",1.87,0.66,2.52,-1.86,0.108,1
"3025","chr8",6919601,6919802,202,"*",1.87,0.66,2.52,-1.86,0.108,1
"3026","chr2",192851751,192852015,265,"*",2.27,1.33,2.83,-1.5,0.108,0.524
"3027","chrX",102505872,102506182,311,"*",3.17,2.58,3.59,-1.02,0.108,0.524
"3028","chr9",136867760,136868047,288,"*",2.46,1.52,3.03,-1.51,0.108,0.524
"3029","chr12",64757322,64757528,207,"*",1.53,0.25,2.2,-1.96,0.108,1
"3030","chr3",195865905,195866717,813,"*",1.13,-0.23,1.82,-2.05,0.108,1
"3031","chr8",87351442,87351694,253,"*",1.13,-0.23,1.82,-2.05,0.108,1
"3032","chr8",95997032,95997311,280,"*",1.13,-0.23,1.82,-2.05,0.108,1
"3033","chr1",241912051,241913289,1239,"*",4.09,3.61,4.45,-0.84,0.108,0.525
"3034","chr6",47688346,47688793,448,"*",2.01,1.01,2.6,-1.58,0.108,0.525
"3035","chr21",42955113,42955521,409,"*",2.1,1.11,2.68,-1.57,0.108,0.525
"3036","chr6",119130013,119130239,227,"*",2.61,1.81,3.12,-1.32,0.108,0.526
"3037","chr22",41985213,41987172,1960,"*",5.07,4.73,5.35,-0.62,0.108,0.526
"3038","chr1",51790664,51791165,502,"*",2.29,1.33,2.85,-1.52,0.109,0.526
"3039","chr10",103124479,103124830,352,"*",3.22,2.55,3.68,-1.13,0.109,0.526
"3040","chr17",18881987,18882284,298,"*",2.96,2.23,3.44,-1.21,0.109,0.527
"3041","chr10",125966044,125966910,867,"*",2.67,3.21,1.78,1.43,0.109,0.527
"3042","chr3",195862708,195864170,1463,"*",4.56,4.89,4.13,0.76,0.109,0.527
"3043","chr19",16692249,16692824,576,"*",1.58,0.25,2.26,-2.01,0.109,1
"3044","chr9",111245626,111246013,388,"*",1.12,-0.23,1.81,-2.04,0.109,1
"3045","chr9",139858055,139858676,622,"*",1.66,0.42,2.31,-1.89,0.109,1
"3046","chr8",144198120,144199379,1260,"*",3.49,3.94,2.83,1.11,0.109,0.527
"3047","chr10",52439015,52439283,269,"*",2.59,1.8,3.1,-1.3,0.109,0.527
"3048","chr4",44988082,44988299,218,"*",2.97,2.22,3.46,-1.23,0.109,0.527
"3049","chr4",9700481,9701316,836,"*",3.21,2.54,3.66,-1.11,0.109,0.528
"3050","chr17",60794530,60796236,1707,"*",5.13,5.65,4.3,1.35,0.109,0.528
"3051","chr15",80444620,80446065,1446,"*",4.4,3.97,4.72,-0.75,0.11,0.529
"3052","chr4",6387590,6388052,463,"*",2.28,1.29,2.86,-1.57,0.11,0.529
"3053","chr14",73423303,73423484,182,"*",2.32,1.42,2.87,-1.45,0.11,0.529
"3054","chr14",68818476,68819128,653,"*",2.96,2.17,3.46,-1.29,0.11,0.529
"3055","chr16",89809335,89809579,245,"*",1.12,-0.23,1.81,-2.04,0.11,1
"3056","chr4",38674180,38675035,856,"*",2.91,3.42,2.1,1.32,0.11,0.53
"3057","chr11",33114634,33114929,296,"*",3.11,2.36,3.6,-1.23,0.11,0.53
"3058","chr5",83094406,83095444,1039,"*",1.04,1.72,-0.28,2,0.11,1
"3059","chr11",30344162,30345249,1088,"*",4.41,3.86,4.81,-0.95,0.11,0.53
"3060","chr18",3689387,3690435,1049,"*",4.09,3.61,4.44,-0.83,0.11,0.53
"3061","chr2",46540805,46541015,211,"*",2.28,1.37,2.84,-1.47,0.11,0.53
"3062","chr1",219075348,219075621,274,"*",3.25,2.66,3.67,-1.01,0.11,0.53
