"","1a","1b","2a","2b","3b","3a"
"chr12:105656760-105656888",31,8,16,25,13,22
"chr12:105750364-105750558",52,8,14,17,9,31
"chr12:105751244-105751451",37,3,10,4,5,26
"chr12:105892968-105893178",25,7,10,41,11,21
"chr12:106135452-106135754",71,15,31,53,17,39
"chr12:106254420-106254693",46,13,22,33,18,36
"chr12:106670902-106671086",38,3,16,16,7,23
"chr12:106673061-106673340",50,6,41,17,3,29
"chr12:106674907-106675136",49,11,13,33,15,31
"chr12:107087392-107087580",37,10,13,30,8,19
"chr12:107381701-107381868",37,5,34,21,12,24
"chr12:108157987-108158241",79,10,26,30,24,40
"chr12:108159024-108159396",87,16,25,57,23,53
"chr12:108159565-108159862",99,10,47,37,18,61
"chr12:108193405-108193553",1,1,1,1,1,1
"chr12:108237831-108238052",43,8,39,12,10,26
"chr12:109162343-109162525",39,8,21,16,10,19
"chr12:109553899-109554525",186,8,151,18,8,124
"chr12:109749706-109750021",55,8,16,54,31,25
"chr12:110155121-110155313",50,6,34,19,7,19
"chr12:110313355-110313533",49,9,13,32,17,21
"chr12:110329843-110330057",43,1,32,5,3,27
"chr12:110511964-110512197",31,2,40,2,1,17
"chr12:110512341-110512523",41,1,15,4,1,22
"chr12:110685270-110685631",122,12,92,42,16,61
"chr12:111029405-111029604",35,1,26,5,7,14
"chr12:111430502-111430682",34,3,24,14,4,19
"chr12:111430818-111431128",108,13,81,25,9,62
"chr12:112254076-112254361",31,9,30,40,17,26
"chr12:112263421-112263738",76,15,53,41,12,43
"chr12:112546281-112546480",38,10,28,25,4,16
"chr12:112550078-112550326",28,18,18,51,22,15
"chr12:112574889-112575118",45,11,30,33,15,23
"chr12:112792738-112792881",21,7,19,30,8,17
"chr12:112808928-112809279",88,14,54,58,28,50
"chr12:112960706-112961057",129,11,77,44,19,56
"chr12:113169785-113169939",18,6,13,22,10,16
"chr12:113364285-113364684",101,33,48,78,42,57
"chr12:113547386-113547624",63,9,38,18,12,28
"chr12:113574749-113574910",36,6,29,18,12,23
"chr12:113659414-113659927",150,29,142,71,28,78
"chr12:113683733-113684061",44,11,46,24,7,19
"chr12:114390641-114390870",32,11,17,45,14,20
"chr12:114966582-114966902",87,15,50,55,29,46
"chr12:115437864-115438162",46,8,24,58,16,23
"chr12:115539880-115540095",73,4,31,15,8,35
"chr12:115732353-115732526",24,6,8,30,12,19
"chr12:115864549-115864875",128,16,86,59,26,80
"chr12:115881148-115881467",57,6,42,20,9,47
"chr12:115888712-115889055",117,10,77,15,8,50
"chr12:116056893-116057114",55,6,50,7,6,32
"chr12:116064477-116064731",35,6,9,40,19,11
"chr12:116088007-116088146",29,2,11,5,5,18
"chr12:116255918-116256055",21,9,11,24,10,19
"chr12:116307920-116308466",168,8,151,38,17,108
"chr12:116309964-116310331",176,28,109,87,46,95
"chr12:116725820-116726105",62,6,28,23,9,37
"chr12:116823568-116823990",182,15,145,28,12,109
"chr12:116828179-116828738",327,51,323,144,87,239
"chr12:116933059-116933475",226,42,205,103,63,160
"chr12:116940913-116941363",187,27,148,75,39,126
"chr12:116997180-116997352",32,3,26,10,6,25
"chr12:117151414-117151669",39,10,14,57,14,28
"chr12:117316414-117316575",30,6,39,22,13,27
"chr12:117353182-117353438",82,4,64,13,5,50
"chr12:117354030-117354384",116,14,78,50,25,80
"chr12:117443279-117443509",61,6,44,5,4,35
"chr12:117500483-117500760",40,7,47,23,5,25
"chr12:117885461-117885956",207,12,159,29,13,132
"chr12:118036635-118036875",45,4,11,26,3,17
"chr12:118321792-118322085",49,5,43,15,11,24
"chr12:118454325-118454564",57,8,43,16,17,25
"chr12:118540088-118540299",50,6,33,20,6,28
"chr12:118709847-118710023",29,10,20,25,14,18
"chr12:118795176-118795340",43,4,10,12,5,24
"chr12:119609043-119609411",202,13,178,40,24,148
"chr12:119617513-119617706",42,2,29,13,7,22
"chr12:119917107-119917495",114,19,87,66,30,74
"chr12:119918060-119918209",31,4,19,2,2,25
"chr12:120126305-120126462",14,9,17,22,8,19
"chr12:120370201-120370360",28,2,28,3,3,26
"chr12:120516798-120516931",27,2,24,10,9,20
"chr12:120517233-120518180",275,17,220,59,31,162
"chr12:120574136-120574481",69,17,63,26,12,40
"chr12:120600050-120600309",64,4,52,7,1,55
"chr12:120803433-120803731",39,4,39,17,5,21
"chr12:121290957-121291310",67,9,29,65,14,40
"chr12:121332186-121332427",51,2,21,16,10,32
"chr12:121358249-121358400",29,8,13,21,8,7
"chr12:121394540-121394993",139,29,91,71,27,69
"chr12:121565396-121565651",56,3,41,11,1,31
"chr12:121569871-121570198",138,13,95,34,18,99
"chr12:121604224-121604499",48,7,37,16,10,26
"chr12:121609123-121609435",88,2,76,9,9,56
"chr12:121613829-121614060",98,6,73,13,7,60
"chr12:121640737-121641165",64,8,40,15,9,47
"chr12:122186444-122187246",402,28,428,72,36,279
"chr12:122192788-122193031",43,10,42,13,10,21
"chr12:122237830-122238210",60,9,52,19,10,23
"chr12:122442791-122443045",91,4,74,13,6,56
"chr12:122467948-122468225",59,6,53,19,3,27
"chr12:122500747-122501537",192,19,148,97,40,100
"chr12:122510512-122510717",46,5,35,12,5,25
"chr12:122516223-122516574",107,17,81,32,18,57
"chr12:122582407-122583148",300,39,248,156,69,178
"chr12:122584118-122584297",29,5,26,13,3,23
"chr12:122709574-122709759",22,9,19,24,5,12
"chr12:122853286-122853487",34,10,31,27,8,15
"chr12:122916128-122916516",62,14,48,59,14,32
"chr12:122952576-122952761",15,8,7,25,15,11
"chr12:122976982-122977148",46,1,10,2,4,23
"chr12:123095558-123095919",83,11,41,38,20,59
"chr12:123144029-123144393",50,11,30,51,35,28
"chr12:123194873-123195068",28,12,6,21,8,13
"chr12:123322605-123322788",45,1,22,16,4,22
"chr12:123349102-123349315",54,6,38,9,5,38
"chr12:123373083-123373342",39,16,41,36,19,27
"chr12:123547399-123547853",154,36,126,102,44,90
"chr12:123554121-123554881",298,28,228,85,34,185
"chr12:123560398-123560621",79,11,43,41,19,26
"chr12:123576911-123577240",90,12,60,48,14,60
"chr12:123579185-123579634",129,13,97,69,24,75
"chr12:123591112-123591352",36,2,34,6,6,22
"chr12:123605194-123605480",50,6,39,11,5,26
"chr12:123874718-123874940",43,6,43,34,11,22
"chr12:123921274-123921436",44,13,23,20,8,19
"chr12:123930227-123930699",135,26,81,78,39,73
"chr12:124025479-124025667",33,5,32,20,9,19
"chr12:124080423-124080652",81,10,48,37,14,64
"chr12:124555129-124555315",63,1,32,1,1,34
"chr12:124615293-124615525",59,12,31,34,15,36
"chr12:124673053-124673517",89,14,65,43,24,71
"chr12:124702401-124702784",108,5,55,9,3,58
"chr12:124703498-124703640",29,5,13,14,4,22
"chr12:124716634-124716938",82,9,52,20,18,45
"chr12:124723457-124723736",52,13,56,22,7,32
"chr12:124844650-124845123",117,18,104,41,21,81
"chr12:124854531-124854919",120,9,106,18,8,68
"chr12:124873843-124874226",63,8,52,39,8,31
"chr12:124877467-124878031",303,35,303,80,41,215
"chr12:124878820-124879189",68,9,52,8,3,43
"chr12:124895088-124895572",239,11,229,33,13,179
"chr12:124907698-124907884",35,4,31,17,3,25
"chr12:124964697-124965083",101,6,107,25,4,48
"chr12:124965439-124965677",33,7,54,11,5,23
"chr12:125003505-125003756",49,11,31,29,11,14
"chr12:125028887-125029109",47,8,47,19,7,27
"chr12:125039859-125040054",48,6,45,10,7,30
"chr12:125071378-125071612",39,6,31,15,10,30
"chr12:125077041-125077297",74,4,61,12,6,45
"chr12:125122088-125122585",111,12,109,29,14,65
"chr12:125164009-125164275",37,5,49,17,10,29
"chr12:125166014-125166199",71,15,41,29,13,35
"chr12:125166430-125166654",45,3,42,10,1,31
"chr12:125170579-125170761",41,9,32,21,6,21
"chr12:125194427-125194703",20,6,15,41,16,17
"chr12:125200127-125200262",37,5,28,16,5,22
"chr12:125215162-125215555",191,28,158,88,53,116
"chr12:125230431-125230748",72,11,63,26,8,40
"chr12:125312277-125312563",59,9,52,33,16,36
"chr12:125312812-125313147",66,10,52,16,4,43
"chr12:125360220-125360608",109,19,73,76,36,65
"chr12:125437465-125437676",43,3,35,7,1,18
"chr12:125533994-125534173",50,5,45,19,7,28
"chr12:126375562-126375731",24,4,11,17,16,14
"chr12:127510240-127510411",27,6,12,31,18,16
"chr12:128428562-128428846",23,3,24,5,6,14
"chr12:128934046-128934309",91,1,28,12,4,56
"chr12:129372118-129372306",40,3,18,2,3,30
"chr12:129560104-129560617",123,10,73,46,19,50
"chr12:129584800-129584987",29,1,27,3,4,27
"chr12:130538215-130538424",21,10,20,29,9,18
"chr12:130582508-130582851",65,15,68,33,19,35
"chr12:130613324-130613613",113,11,93,26,14,87
"chr12:130663779-130664102",92,16,71,47,24,53
"chr12:131237267-131237421",36,10,34,35,18,26
"chr12:131360988-131361174",35,5,5,9,7,21
"chr12:131438584-131438802",46,8,43,30,16,25
"chr12:131561088-131561243",47,5,27,4,1,26
"chr12:131581760-131582010",55,3,56,10,8,39
"chr12:131686936-131687260",13,4,12,2,2,11
"chr12:131769645-131769848",43,8,19,12,7,24
"chr12:131795967-131796341",39,4,34,10,2,22
"chr12:131885500-131885644",25,7,16,21,4,18
"chr12:131895089-131895618",119,12,97,26,9,73
"chr12:132319401-132319624",39,2,43,8,10,24
"chr12:132347769-132348153",65,5,73,14,7,37
"chr12:132348292-132348557",63,6,46,10,4,44
"chr12:132349832-132350137",149,12,106,14,12,90
"chr12:132356724-132357057",121,15,104,37,20,79
"chr12:132568488-132568702",35,13,25,19,4,26
"chr12:132850445-132850869",115,9,100,26,12,62
"chr12:133003347-133003836",78,14,83,29,18,43
"chr12:133035965-133036176",50,3,43,12,5,17
"chr12:133042936-133043566",121,5,119,6,9,76
"chr12:133047615-133047896",67,10,62,21,4,44
"chr12:133070963-133071203",55,15,47,21,8,41
"chr12:133082985-133083145",37,9,37,22,11,33
"chr12:133199028-133199221",45,4,49,28,3,25
"chr12:133199483-133200326",164,27,133,77,26,87
"chr12:133484984-133485221",48,9,34,31,9,28
"chr12:133532878-133533134",39,9,41,37,27,18
"chr13:20205719-20205970",88,5,75,7,5,56
"chr13:20340699-20340927",55,4,39,10,5,30
"chr13:20368840-20369051",45,9,32,21,13,25
"chr13:20595653-20595911",105,15,28,42,23,64
"chr13:20745560-20745919",50,13,8,61,20,28
"chr13:21418694-21418915",56,10,21,41,11,36
"chr13:21860285-21860538",36,8,10,37,24,22
"chr13:22103696-22103933",121,9,34,23,5,73
"chr13:23204251-23204496",30,8,12,46,10,13
"chr13:23229314-23229694",108,6,62,25,8,63
"chr13:23239742-23239936",44,7,16,18,5,27
"chr13:23277016-23277172",33,3,26,4,1,16
"chr13:23539527-23539753",64,4,48,6,5,38
"chr13:23553063-23553815",330,37,287,105,56,223
"chr13:23557545-23557691",38,2,24,8,3,18
"chr13:23558050-23558366",65,3,30,12,11,31
"chr13:23571104-23571512",110,4,55,45,13,40
"chr13:23583379-23583603",28,6,22,3,3,16
"chr13:24024511-24024774",63,11,40,16,4,38
"chr13:24062617-24063017",157,14,76,29,24,79
"chr13:24162871-24163161",69,9,36,22,9,36
"chr13:24209227-24209380",24,6,21,30,12,14
"chr13:24317826-24317972",40,3,14,10,6,24
"chr13:24701299-24701502",58,5,37,31,16,30
"chr13:24723784-24724045",89,8,73,30,12,57
"chr13:24880797-24881086",44,8,19,43,25,31
"chr13:24881453-24881753",97,19,70,45,21,64
"chr13:24949589-24949771",2,2,1,1,1,1
"chr13:25214330-25214473",15,9,8,21,5,13
"chr13:25444677-25444855",31,6,8,13,14,22
"chr13:25689104-25689467",128,13,103,48,19,80
"chr13:25690351-25690674",63,6,20,30,14,29
"chr13:25691590-25691943",69,10,44,37,15,36
"chr13:25916466-25916609",1,1,2,1,1,1
"chr13:26194064-26194340",48,10,15,37,16,23
"chr13:26301518-26301699",30,6,20,14,6,22
"chr13:26552417-26552599",47,13,21,23,14,31
"chr13:26562941-26563239",23,10,29,33,24,35
"chr13:26596680-26597088",211,16,144,36,12,114
"chr13:26714405-26714538",30,11,9,21,6,18
"chr13:27412125-27412495",78,14,62,44,25,43
"chr13:27552427-27552942",264,16,212,43,17,166
"chr13:27557179-27557476",96,13,65,31,17,68
"chr13:27557901-27558107",44,2,30,6,7,18
"chr13:28074811-28075197",146,3,129,18,9,104
"chr13:28165598-28165736",21,6,9,21,10,18
"chr13:28199718-28200001",50,5,17,20,9,29
"chr13:28229664-28229825",27,1,10,7,5,19
"chr13:28531095-28531391",74,16,25,65,18,34
"chr13:28609209-28609608",204,16,180,67,29,144
"chr13:28674253-28674513",23,7,29,37,5,22
"chr13:28674611-28674816",21,10,28,20,6,18
"chr13:29017095-29017375",85,4,68,7,7,49
"chr13:29104891-29105053",22,6,5,22,4,18
"chr13:29120023-29120355",31,11,14,57,25,29
"chr13:29288781-29289046",53,1,34,6,1,26
"chr13:29833313-29833462",23,3,20,3,4,15
"chr13:30461536-30461692",36,5,18,14,4,18
"chr13:30483121-30483382",37,2,15,5,4,20
"chr13:30492335-30492514",37,6,24,18,8,24
"chr13:30492966-30493175",87,22,69,26,19,64
"chr13:30595382-30595557",40,2,32,11,8,16
"chr13:30596988-30597284",95,19,49,52,21,47
"chr13:30597515-30597828",95,17,84,59,23,47
"chr13:30646376-30647046",254,47,179,158,84,179
"chr13:30653415-30653737",130,12,103,29,15,66
"chr13:30677277-30677636",54,6,20,41,9,48
"chr13:30682709-30683289",135,13,107,48,25,79
"chr13:30912665-30912931",61,5,16,17,8,40
"chr13:31191044-31191245",51,12,21,39,22,33
"chr13:31317117-31317438",145,11,100,35,15,90
"chr13:31317635-31318083",149,19,84,70,31,83
"chr13:31407180-31407442",86,20,69,36,14,51
"chr13:31620000-31620148",42,6,22,15,10,29
"chr13:31648525-31648778",60,4,64,20,4,32
"chr13:31665415-31665607",56,8,27,11,6,35
"chr13:31668929-31669076",32,5,14,10,7,23
"chr13:31736442-31736663",31,15,36,48,26,20
"chr13:31903018-31903168",19,4,6,28,6,16
"chr13:32605705-32605938",33,10,26,22,10,20
"chr13:32642477-32642662",44,6,16,13,6,25
"chr13:32753079-32753303",31,5,5,12,10,20
"chr13:32852127-32852331",44,2,24,4,3,24
"chr13:33403896-33404158",47,15,39,42,17,26
"chr13:33500852-33501054",47,8,26,18,8,17
"chr13:33559077-33559255",22,3,25,11,10,23
"chr13:33664898-33665171",54,5,21,38,18,44
"chr13:33689808-33689947",32,3,15,10,5,21
"chr13:33690531-33690748",49,3,24,26,7,32
"chr13:33693989-33694646",190,30,135,129,54,123
"chr13:33700316-33700620",90,18,67,47,27,62
"chr13:33919760-33920257",242,22,179,82,29,172
"chr13:33953779-33953958",38,3,25,9,10,13
"chr13:34207809-34208105",62,7,43,29,15,33
"chr13:34216703-34217316",299,66,284,205,135,217
"chr13:34217435-34217732",60,7,36,12,6,27
"chr13:34223636-34223933",61,7,17,28,4,47
"chr13:34226016-34226368",97,6,64,16,7,37
"chr13:34466810-34466987",43,4,15,9,2,22
"chr13:34965278-34965586",52,7,27,17,8,25
"chr13:35507560-35507730",29,5,7,25,8,16
"chr13:35514024-35514162",13,6,4,21,4,11
"chr13:36288752-36288957",48,2,31,15,5,20
"chr13:36290459-36290748",105,8,52,26,14,62
"chr13:36557934-36558159",25,1,9,6,2,11
"chr13:36580643-36580897",33,8,26,36,10,17
"chr13:36603368-36603530",33,7,12,10,8,24
"chr13:36646284-36646530",54,5,16,12,3,32
"chr13:36668732-36668901",36,8,10,28,12,15
"chr13:36704956-36705269",88,12,63,35,12,45
"chr13:37203194-37203466",51,3,11,7,5,27
"chr13:37203783-37204069",128,7,39,20,10,88
"chr13:37978342-37978569",43,9,9,38,20,25
"chr13:39256287-39256507",53,3,10,5,3,22
"chr13:39309834-39309984",32,4,12,11,6,22
"chr13:39464218-39464399",32,3,13,5,2,9
"chr13:40377451-40377720",99,17,47,60,26,56
"chr13:40690312-40690558",81,7,31,18,14,36
"chr13:40733985-40734217",39,8,16,26,12,32
"chr13:40755761-40755982",96,5,31,27,16,68
"chr13:41008812-41009136",45,4,41,14,8,30
"chr13:41016513-41016674",35,5,25,1,5,19
"chr13:41110900-41111363",142,19,144,58,39,106
"chr13:41111403-41111629",45,7,41,18,8,26
"chr13:41161186-41161338",39,6,15,33,11,12
"chr13:41591325-41591611",139,17,91,35,24,95
"chr13:41635858-41636116",33,10,39,34,11,21
"chr13:41676055-41676348",107,8,42,8,5,57
"chr13:41706877-41707078",49,23,27,46,20,28
"chr13:41768581-41768893",55,19,41,61,22,32
"chr13:42083039-42083256",37,4,30,7,3,26
"chr13:42586284-42586430",14,3,21,16,7,18
"chr13:43579075-43579232",45,5,12,3,6,26
"chr13:43585228-43585467",37,3,28,23,4,24
"chr13:43807161-43807357",55,4,17,14,4,37
"chr13:44682580-44683024",181,22,143,73,39,121
"chr13:44755827-44756180",72,20,37,62,22,42
"chr13:45217882-45218037",32,7,20,4,1,18
"chr13:45391490-45391806",102,7,85,29,13,53
"chr13:45468666-45468875",55,10,39,19,9,40
"chr13:45542373-45542547",43,4,20,21,10,39
"chr13:45546017-45546253",55,5,17,31,11,32
"chr13:45607880-45608097",59,6,19,28,6,45
"chr13:45814427-45814600",20,7,8,19,14,23
"chr13:46023405-46023585",47,4,6,1,4,21
"chr13:46098453-46098818",58,8,27,27,6,38
"chr13:46102041-46102486",86,9,24,34,19,47
"chr13:46179607-46179765",37,1,26,5,1,26
"chr13:46694363-46694740",71,14,37,24,14,46
"chr13:46709420-46709594",50,15,25,36,18,38
"chr13:46717351-46717675",88,20,30,105,36,65
"chr13:46933868-46934285",171,9,76,18,7,91
"chr13:47120506-47120845",150,19,67,76,24,103
"chr13:47222343-47222561",38,10,20,17,4,19
"chr13:47258598-47258957",30,11,25,37,26,24
"chr13:48630477-48630679",37,2,19,8,3,9
"chr13:48670761-48671062",115,12,31,34,14,78
"chr13:49040113-49040285",1,1,1,4,1,2
"chr13:49254092-49254397",53,5,41,6,7,37
"chr13:49799952-49800132",45,4,12,16,7,21
"chr13:50086821-50087024",34,3,24,2,1,24
"chr13:50135106-50135468",83,13,61,36,19,49
"chr13:50349429-50349748",127,6,100,29,16,88
"chr13:50664479-50664683",38,1,38,6,5,27
"chr13:50723173-50723578",135,18,66,67,35,93
"chr13:50819254-50819566",90,14,43,38,19,52
"chr13:52480785-52481005",72,9,46,31,12,38
"chr13:52481351-52481559",52,5,30,9,2,26
"chr13:52493755-52494011",85,8,64,29,11,48
"chr13:52503913-52504215",119,10,82,25,10,65
"chr13:52572213-52572448",65,13,44,30,4,31
"chr13:53885892-53886147",30,9,8,31,18,15
"chr13:53943226-53943371",18,10,9,23,2,11
"chr13:54130696-54130969",71,5,22,8,3,47
"chr13:55165803-55166044",78,3,27,19,6,53
"chr13:55689618-55689784",18,4,3,14,12,16
"chr13:56238382-56238648",96,3,72,6,4,60
"chr13:56302521-56302746",71,1,29,12,3,42
"chr13:57076021-57076215",33,5,6,8,4,17
"chr13:57244890-57245151",71,2,42,11,7,49
"chr13:58037368-58037605",48,1,24,8,2,28
"chr13:58631975-58632163",29,3,4,12,5,14
"chr13:58785353-58785573",34,3,24,8,3,12
"chr13:58831743-58831928",25,4,5,17,3,16
"chr13:59481481-59481787",28,2,12,48,25,16
"chr13:59566020-59566170",33,3,14,16,6,21
"chr13:59718953-59719256",107,5,21,31,11,53
"chr13:59744943-59745134",38,1,21,5,3,28
"chr13:60301222-60301381",41,1,6,3,1,16
"chr13:60342006-60342170",26,1,17,3,1,23
"chr13:60665836-60665986",26,7,3,15,10,16
"chr13:62817251-62817499",40,6,12,22,7,28
"chr13:62852549-62852717",23,7,6,24,5,17
"chr13:63699035-63699312",23,2,24,58,6,10
"chr13:64119789-64120052",48,18,16,46,19,30
"chr13:64424208-64424354",30,9,6,30,7,16
"chr13:64750978-64751350",95,3,53,11,7,55
"chr13:64792266-64792512",80,5,26,36,14,44
"chr13:64868057-64868315",53,4,17,33,4,29
"chr13:65217204-65217477",57,3,26,15,12,32
"chr13:65297952-65298103",24,2,7,13,2,17
"chr13:65788729-65788943",71,2,42,5,1,68
"chr13:66757630-66757786",32,4,22,6,3,6
"chr13:66845302-66845438",11,3,5,22,1,10
"chr13:69260123-69260939",505,20,300,74,24,368
"chr13:69285869-69286336",171,10,132,19,17,108
"chr13:69319621-69320224",251,9,119,77,22,200
"chr13:69518559-69518718",26,3,15,12,5,17
"chr13:70098646-70098921",31,5,12,66,12,22
"chr13:70111737-70111914",21,9,7,32,13,26
"chr13:70696601-70696736",26,1,4,9,1,17
"chr13:70765264-70765478",49,3,31,18,4,37
"chr13:70965868-70966239",95,10,35,41,29,51
"chr13:71182516-71182723",31,1,6,2,4,25
"chr13:71243111-71243262",35,2,7,20,7,19
"chr13:71444162-71444374",60,11,16,36,18,35
"chr13:72287193-72287462",91,10,57,34,27,46
"chr13:72958436-72958621",21,8,6,22,13,16
"chr13:72979677-72979894",47,1,13,2,1,29
"chr13:73707723-73708017",104,9,73,37,14,64
"chr13:73759642-73759779",29,3,15,2,3,15
"chr13:73768361-73768711",94,22,46,40,31,52
"chr13:73849435-73849632",18,5,7,32,16,13
"chr13:74002913-74003171",29,4,19,42,13,16
"chr13:74328218-74328367",11,5,11,24,8,13
"chr13:75326033-75326230",39,5,18,12,4,23
"chr13:75748294-75748467",41,6,19,8,3,20
"chr13:75988173-75988523",114,8,57,20,6,70
"chr13:76191493-76191699",30,2,28,5,7,28
"chr13:76279115-76279346",25,9,34,16,11,24
"chr13:76476979-76477098",25,5,13,11,1,10
"chr13:78096252-78096410",21,6,18,23,5,23
"chr13:78179252-78179635",154,2,162,17,2,109
"chr13:79636595-79636742",22,4,3,22,13,10
"chr13:81456310-81456575",39,6,11,24,16,24
"chr13:81953428-81953593",13,4,9,32,7,13
"chr13:81964328-81964521",50,5,10,6,1,26
"chr13:82448525-82448752",68,6,19,16,14,37
"chr13:82561993-82562175",30,2,9,7,2,22
"chr13:82566451-82566630",33,1,11,8,3,16
"chr13:82665090-82665446",124,4,26,11,2,82
"chr13:82866603-82866795",39,3,11,15,7,24
"chr13:82879777-82880198",233,15,179,34,11,152
"chr13:83767380-83767642",72,1,16,7,2,44
"chr13:83799009-83799215",40,3,15,14,3,22
"chr13:83932631-83932862",69,2,25,13,5,53
"chr13:84405877-84406042",30,3,8,11,5,15
"chr13:84554181-84554372",43,7,18,19,4,38
"chr13:85491433-85491679",27,4,17,56,9,14
"chr13:86160579-86160877",60,6,28,16,6,30
"chr13:86163479-86164037",137,6,112,15,7,69
"chr13:86290356-86290872",84,3,37,45,10,60
"chr13:87575141-87575502",95,4,44,14,11,57
"chr13:87585185-87585329",33,1,6,3,2,20
"chr13:89298528-89298704",24,8,13,22,12,12
"chr13:89510674-89510834",24,7,7,23,12,11
"chr13:90733385-90733574",31,8,7,25,17,21
"chr13:91352386-91352665",36,9,18,33,7,32
"chr13:91362260-91362418",32,2,6,3,2,27
"chr13:91490788-91491116",147,21,73,90,44,131
"chr13:91491193-91491878",178,21,99,67,34,103
"chr13:91507819-91508030",49,2,11,10,2,16
"chr13:93182736-93182894",25,4,8,15,5,16
"chr13:93876791-93877223",190,23,108,73,37,126
"chr13:93978730-93979133",90,6,38,28,11,69
"chr13:94018499-94018720",58,4,23,17,5,53
"chr13:94392573-94392859",43,4,11,13,12,33
"chr13:95097113-95097303",14,9,4,33,12,14
"chr13:95780299-95780472",28,8,18,20,9,17
"chr13:96576868-96577039",12,10,4,24,15,6
"chr13:97578156-97578450",37,9,8,40,17,23
"chr13:97786256-97786535",66,5,32,34,13,36
"chr13:97831864-97832061",31,6,30,11,5,28
"chr13:97932221-97932476",76,6,19,14,8,49
"chr13:98530548-98530841",65,1,35,7,3,28
"chr13:98700698-98700900",50,9,25,17,9,24
"chr13:98702359-98702581",43,8,16,21,12,24
"chr13:98925424-98925722",103,10,37,24,7,53
"chr13:98945385-98945809",193,23,172,51,19,125
"chr13:98945933-98946139",36,2,34,1,2,32
"chr13:98950126-98950448",119,4,75,19,6,89
"chr13:99068614-99068983",65,6,43,32,17,41
"chr13:99072166-99072499",52,6,43,14,5,36
"chr13:99137109-99137479",79,12,72,44,25,61
"chr13:99159139-99159336",41,2,39,1,1,23
"chr13:99541354-99541497",22,8,10,22,7,15
"chr13:99710877-99711081",41,2,42,4,1,26
"chr13:99739065-99739317",32,11,23,17,14,15
"chr13:100427102-100427312",32,10,8,23,13,23
"chr13:101094815-101094985",19,4,8,25,7,15
"chr13:101264176-101264421",59,10,59,14,6,39
"chr13:101391682-101391850",26,7,3,24,9,15
"chr13:102597894-102598060",18,12,18,27,9,24
"chr13:103422194-103422311",27,4,8,18,6,16
"chr13:103930359-103930507",28,7,17,19,11,22
"chr13:104041215-104041529",42,7,8,41,23,15
"chr13:104162495-104162620",27,11,20,19,10,18
"chr13:104328769-104328943",40,6,7,13,4,23
"chr13:104382807-104383093",75,6,73,14,1,48
"chr13:106179356-106179627",55,3,25,36,15,36
"chr13:106467329-106467531",49,3,14,13,9,17
"chr13:106556401-106556681",78,3,43,21,4,57
"chr13:106556804-106557049",35,4,20,18,5,27
"chr13:106559285-106559590",123,1,85,22,3,76
"chr13:106589950-106590103",21,8,14,16,13,10
"chr13:106651774-106651922",35,1,8,8,5,15
"chr13:106761139-106761366",27,3,8,25,7,23
"chr13:106781896-106782061",32,5,7,22,9,13
"chr13:107042857-107042989",27,2,6,6,4,16
"chr13:107043723-107043957",56,2,27,12,9,28
"chr13:107405690-107405885",44,1,25,7,2,36
"chr13:107513438-107513825",113,24,79,73,31,85
"chr13:108418228-108418695",45,2,13,16,6,43
"chr13:108528328-108528549",57,5,20,6,3,35
"chr13:108614657-108614972",76,10,16,49,17,45
"chr13:108656003-108656311",64,9,54,20,9,35
"chr13:108722821-108723019",32,3,19,6,1,22
"chr13:109350803-109351015",35,1,12,1,2,16
"chr13:109363750-109363962",46,1,42,8,1,26
"chr13:109571471-109572210",388,20,302,65,30,243
"chr13:109627154-109627285",22,4,5,19,4,14
"chr13:109679060-109679277",44,3,9,5,3,20
"chr13:109740025-109740271",111,8,59,10,5,79
"chr13:110161986-110162154",44,4,30,19,11,30
"chr13:110228553-110229154",178,17,108,60,31,128
"chr13:110296499-110296792",40,14,27,32,16,30
"chr13:110357291-110357553",36,4,11,5,3,21
"chr13:110396111-110396376",71,4,59,12,8,41
"chr13:110399974-110400161",19,9,7,30,9,11
"chr13:110651060-110651456",88,12,30,35,16,48
"chr13:110651602-110651733",20,6,12,23,12,17
"chr13:110652119-110652309",37,1,23,10,4,12
"chr13:110652544-110652941",181,9,150,27,19,117
"chr13:110790521-110790743",34,8,23,25,13,27
"chr13:111159577-111159883",70,8,55,42,22,31
"chr13:111252953-111253195",44,7,19,18,6,21
"chr13:111505666-111505934",58,2,46,6,4,46
"chr13:112160516-112160725",46,4,35,7,2,34
"chr13:112868634-112868846",60,6,35,26,7,28
"chr13:113103458-113103692",30,6,36,8,7,13
"chr13:113248449-113248978",120,19,40,136,35,79
"chr13:113255811-113256026",43,2,37,17,9,20
"chr13:113377135-113377581",155,24,107,67,35,99
"chr13:113416140-113416488",130,5,98,12,7,75
"chr13:113637886-113638297",59,5,58,11,5,38
"chr13:113639787-113640350",188,10,178,43,18,124
"chr13:113655557-113655975",110,4,85,19,10,52
"chr13:113667614-113668117",168,28,133,76,40,111
"chr13:113759646-113759957",34,5,47,16,11,33
"chr13:113760066-113760228",38,3,25,17,2,18
"chr13:113979947-113980273",85,12,56,19,8,46
"chr13:114082220-114082619",95,5,76,18,8,52
"chr13:114111906-114112109",25,8,26,22,13,20
"chr13:114203158-114203501",88,6,75,8,11,50
"chr13:114490717-114490881",28,1,26,3,2,17
"chr13:114536443-114537167",159,10,118,24,12,82
"chr13:114566804-114567148",102,13,84,35,22,51
