"","1a","1b","2a","2b","3b","3a"
"chr1:146966722-146967253",311,178,337,343,285,226
"chr1:146968426-146968834",169,74,151,153,89,117
"chr1:146976932-146977062",54,17,40,48,20,38
"chr1:146987201-146987530",135,59,61,167,106,106
"chr1:147071770-147072302",203,78,191,195,90,126
"chr1:147099155-147099748",303,167,315,366,269,211
"chr1:147112381-147113088",370,203,386,420,326,246
"chr1:147113691-147114284",301,149,308,351,267,217
"chr1:147137610-147137972",153,68,120,171,96,113
"chr1:147141649-147141791",43,17,39,30,18,22
"chr1:147141926-147142730",125,36,97,146,52,75
"chr1:147171866-147172591",355,176,336,375,277,222
"chr1:147195923-147196484",235,135,243,278,197,172
"chr1:147287669-147287852",54,16,26,55,24,41
"chr1:147313075-147313374",144,67,120,139,69,108
"chr1:147362232-147362782",288,159,287,332,259,202
"chr1:147364260-147365305",484,222,459,578,432,324
"chr1:147431245-147431423",1,1,1,1,1,1
"chr1:147454567-147454730",1,1,1,1,1,1
"chr1:147551190-147551391",1,1,1,1,1,1
"chr1:147553416-147553928",88,84,85,87,85,88
"chr1:147558385-147558965",1,1,1,1,1,1
"chr1:147566111-147566273",1,1,1,1,1,1
"chr1:147592579-147593172",1,1,1,1,1,1
"chr1:147599001-147599678",1,1,1,1,1,1
"chr1:147623855-147624148",1,1,1,1,1,1
"chr1:147697399-147697564",1,1,1,1,1,1
"chr1:147726980-147727648",400,213,378,421,320,275
"chr1:147806443-147806623",40,16,31,38,21,42
"chr1:147811565-147811712",52,15,24,34,21,26
"chr1:147817404-147818192",303,118,296,363,228,191
"chr1:147833584-147833823",1,1,1,1,1,1
"chr1:147843547-147844210",1,1,1,1,1,1
"chr1:147856243-147856424",1,1,1,1,1,1
"chr1:147903547-147903765",1,1,1,1,1,1
"chr1:147924460-147924666",1,1,1,1,1,1
"chr1:147931192-147931700",1,1,1,1,1,1
"chr1:147932113-147932496",1,1,3,3,1,1
"chr1:147982277-147982415",12,2,11,9,5,6
"chr1:147995406-147995612",12,3,5,6,2,4
"chr1:147999932-148000830",287,141,271,298,170,208
"chr1:148176250-148176833",86,35,67,87,37,41
"chr1:148193230-148193436",14,1,11,6,6,7
"chr1:148241860-148241904",9,2,8,10,2,9
"chr1:148242699-148242958",1,1,1,1,1,1
"chr1:148247231-148248135",186,74,166,179,85,112
"chr1:148340104-148340561",1,1,1,1,1,1
"chr1:148346532-148346939",58,17,27,58,25,27
"chr1:148527121-148527574",1,1,7,2,1,1
"chr1:148531766-148532583",226,100,246,247,193,149
"chr1:148540611-148540785",9,1,11,11,10,5
"chr1:148555573-148556430",118,50,99,104,44,68
"chr1:148577326-148578001",1,1,1,1,1,1
"chr1:148598378-148599248",71,47,72,70,64,52
"chr1:148603620-148603850",5,1,4,3,5,2
"chr1:148739617-148740077",1,1,1,1,1,1
"chr1:148760333-148760362",1,1,1,1,1,1
"chr1:148760406-148761279",1,1,1,1,1,1
"chr1:148765642-148765862",1,1,1,1,1,1
"chr1:149059890-149060075",8,5,8,10,2,8
"chr1:149105891-149106296",45,9,17,41,25,27
"chr1:149192745-149192981",74,19,54,52,26,45
"chr1:149204171-149204668",207,118,212,253,179,154
"chr1:149223379-149223639",65,26,67,36,24,43
"chr1:149257878-149258069",2,1,3,3,2,4
"chr1:149272758-149273408",128,74,100,123,94,101
"chr1:149297696-149297996",92,39,85,85,56,65
"chr1:149299431-149300408",176,87,145,164,115,140
"chr1:149310997-149311210",6,3,5,8,3,4
"chr1:149370601-149370834",1,1,1,1,1,1
"chr1:149378950-149380054",111,36,95,89,51,74
"chr1:149400175-149400432",5,1,3,2,1,1
"chr1:149431051-149431547",90,44,77,113,70,75
"chr1:149438093-149438573",1,1,1,1,1,1
"chr1:149439069-149439593",1,1,1,1,1,1
"chr1:149512808-149512995",1,1,1,1,1,1
"chr1:149575892-149576247",1,1,1,1,1,1
"chr1:149576610-149577518",13,4,6,5,4,6
"chr1:149583784-149583975",5,2,6,10,3,4
"chr1:149643486-149643716",10,4,5,9,6,7
"chr1:149658355-149658880",204,102,167,212,139,159
"chr1:149683281-149683524",2,3,1,1,1,1
"chr1:149684846-149685226",115,42,90,97,48,79
"chr1:149685414-149686007",24,8,17,20,21,14
"chr1:149696520-149696766",1,1,1,1,1,3
"chr1:149748773-149748938",24,5,6,15,7,18
"chr1:149755577-149755788",1,4,2,1,1,1
"chr1:149763820-149764964",420,273,415,415,327,349
"chr1:149784803-149785138",26,9,25,30,4,14
"chr1:149804092-149804718",1,1,1,1,1,1
"chr1:149811823-149812715",1,1,1,1,1,1
"chr1:149813191-149813590",1,1,1,1,1,1
"chr1:149823367-149823855",1,1,1,1,1,1
"chr1:149824233-149824754",1,1,1,1,1,1
"chr1:149832220-149832846",1,1,1,1,1,1
"chr1:149857313-149857387",27,7,17,19,14,8
"chr1:149859912-149860385",243,100,222,246,164,164
"chr1:149909139-149909329",45,9,23,39,24,20
"chr1:149914189-149914467",144,63,116,155,93,103
"chr1:149933958-149934385",218,113,187,256,192,167
"chr1:149982514-149982980",157,46,118,110,62,96
"chr1:149994454-149994655",49,24,32,53,25,36
"chr1:150022556-150023070",209,107,157,278,214,172
"chr1:150039312-150039490",61,16,43,40,18,32
"chr1:150039584-150039794",35,19,50,52,24,29
"chr1:150045006-150045418",134,43,80,201,82,101
"chr1:150089734-150089978",65,17,54,74,39,40
"chr1:150122226-150122480",49,26,41,57,17,18
"chr1:150133555-150133723",36,16,25,41,12,42
"chr1:150134466-150134668",78,28,54,80,28,45
"chr1:150135024-150135207",37,10,33,53,22,31
"chr1:150138026-150138648",268,140,272,297,202,189
"chr1:150141094-150141676",293,154,325,340,266,210
"chr1:150159494-150160134",170,46,139,266,162,129
"chr1:150185942-150186501",181,66,87,192,107,109
"chr1:150193672-150194282",211,58,153,245,138,131
"chr1:150207692-150207920",62,24,74,54,30,39
"chr1:150208789-150209066",68,27,71,45,21,46
"chr1:150227733-150228083",183,83,139,183,112,132
"chr1:150228173-150228649",248,97,248,281,194,164
"chr1:150253630-150254246",288,148,267,312,228,209
"chr1:150337017-150337295",54,24,58,54,21,39
"chr1:150362033-150362257",66,20,21,52,21,46
"chr1:150402317-150402617",149,62,71,166,119,111
"chr1:150436770-150437269",251,133,244,292,201,185
"chr1:150457376-150457710",175,62,144,194,119,133
"chr1:150488640-150488791",35,7,29,25,15,14
"chr1:150489289-150489425",32,6,10,24,13,23
"chr1:150504830-150505538",322,153,321,353,256,213
"chr1:150510265-150510592",95,34,91,78,30,49
"chr1:150521268-150522027",290,97,223,236,122,152
"chr1:150522100-150522280",49,14,55,44,13,41
"chr1:150532219-150533040",398,218,435,450,317,291
"chr1:150533234-150534341",498,228,493,503,328,336
"chr1:150540669-150540912",61,28,38,60,29,52
"chr1:150552010-150552228",65,19,55,60,20,39
"chr1:150592217-150592681",190,89,147,216,128,149
"chr1:150594003-150594524",192,81,147,261,163,148
"chr1:150744913-150745049",31,5,5,28,11,22
"chr1:150785536-150785988",276,150,258,304,237,189
"chr1:150802243-150802591",168,66,131,162,97,113
"chr1:150848883-150849212",62,16,44,53,11,31
"chr1:150849512-150849796",71,10,38,51,28,27
"chr1:150894870-150895364",251,125,179,284,225,170
"chr1:150898631-150898885",106,34,109,90,42,83
"chr1:150944339-150944616",76,28,64,80,37,49
"chr1:150944683-150944880",52,21,45,55,28,24
"chr1:150946673-150947450",202,53,181,155,65,98
"chr1:150951796-150952368",413,221,460,463,401,282
"chr1:150968223-150968823",302,145,276,319,193,207
"chr1:150979145-150979596",201,80,167,184,114,128
"chr1:150980812-150980968",55,9,50,41,10,37
"chr1:150996864-150997465",296,154,317,332,235,221
"chr1:151020859-151021401",274,146,248,281,154,197
"chr1:151031843-151032498",308,175,312,334,209,218
"chr1:151032937-151033239",60,18,47,62,34,44
"chr1:151042877-151043985",578,282,536,602,436,402
"chr1:151044739-151045031",78,18,72,65,42,58
"chr1:151072226-151072559",175,77,118,232,182,122
"chr1:151074051-151074204",43,9,21,39,16,20
"chr1:151107950-151108301",134,39,117,97,50,66
"chr1:151128525-151128955",244,139,244,272,227,184
"chr1:151138451-151138582",51,28,33,56,23,33
"chr1:151148238-151148809",258,117,236,269,189,164
"chr1:151167882-151168027",49,22,52,48,23,53
"chr1:151168691-151169221",236,106,156,250,168,169
"chr1:151195675-151195849",48,19,33,43,18,23
"chr1:151200178-151200502",124,52,99,136,84,100
"chr1:151224099-151224702",282,128,198,322,240,192
"chr1:151227376-151227589",43,11,33,39,16,31
"chr1:151253570-151253872",137,41,117,128,61,78
"chr1:151254332-151254502",52,17,43,46,14,31
"chr1:151254907-151255081",48,12,33,28,12,18
"chr1:151265037-151265174",39,15,32,34,14,21
"chr1:151273212-151273774",332,169,313,334,257,213
"chr1:151313304-151313908",233,105,178,267,206,161
"chr1:151325625-151325787",45,16,29,45,13,23
"chr1:151337571-151337745",53,18,50,32,24,36
"chr1:151342154-151342286",45,15,33,24,10,23
"chr1:151345071-151345271",41,11,44,44,12,15
"chr1:151370929-151371078",41,25,33,58,20,42
"chr1:151371724-151372062",175,65,147,173,112,133
"chr1:151372307-151372479",41,21,25,38,18,22
"chr1:151416276-151416681",241,119,169,280,231,172
"chr1:151430930-151431255",80,17,51,54,23,30
"chr1:151445865-151446136",41,19,33,53,22,18
"chr1:151458291-151458438",38,16,43,36,9,44
"chr1:151473948-151474272",141,48,88,153,81,93
"chr1:151484072-151484540",175,43,142,131,48,113
"chr1:151485699-151485880",42,14,42,53,13,31
"chr1:151486714-151486853",77,11,51,25,12,49
"chr1:151492849-151493030",61,34,37,60,20,37
"chr1:151507038-151507618",333,185,355,367,294,235
"chr1:151554624-151554809",193,25,174,69,24,162
"chr1:151566453-151567077",304,184,342,371,304,237
"chr1:151665424-151665974",277,155,220,317,246,197
"chr1:151678322-151678560",84,20,87,60,28,50
"chr1:151707426-151708005",315,170,324,356,255,220
"chr1:151712500-151712779",73,24,66,69,36,50
"chr1:151735504-151735786",50,21,47,43,23,35
"chr1:151735876-151736044",36,12,27,30,16,25
"chr1:151762697-151763158",298,121,281,261,127,170
"chr1:151763966-151764106",39,19,18,35,13,17
"chr1:151803228-151803582",236,88,205,151,107,155
"chr1:151808861-151809390",255,155,239,303,224,189
"chr1:151811901-151812379",157,30,114,100,45,96
"chr1:151818761-151818924",72,25,36,46,21,36
"chr1:151853923-151854334",201,83,105,217,158,150
"chr1:151861523-151861899",161,63,78,181,118,135
"chr1:151880901-151881121",69,18,50,100,51,42
"chr1:151881666-151882259",281,110,254,258,120,174
"chr1:151906418-151906912",291,142,269,319,263,188
"chr1:151940305-151940879",330,167,311,369,281,219
"chr1:151941331-151941578",151,52,95,110,61,111
"chr1:151965978-151966490",235,51,182,147,56,98
"chr1:151966578-151966854",236,42,211,108,53,171
"chr1:151969340-151969688",214,126,245,265,225,190
"chr1:151974103-151974601",307,180,304,359,276,218
"chr1:151976533-151976947",238,138,227,259,183,161
"chr1:151986034-151986745",361,196,391,412,308,241
"chr1:151991025-151991341",121,33,61,112,49,78
"chr1:152006877-152007515",325,144,301,321,220,225
"chr1:152008030-152008278",54,25,58,70,31,37
"chr1:152008777-152008957",37,17,42,42,11,21
"chr1:152009447-152009615",46,22,35,40,11,25
"chr1:152020180-152020833",350,151,342,313,225,241
"chr1:152021007-152021163",73,22,49,38,15,44
"chr1:152023756-152024023",145,42,92,132,63,89
"chr1:152024873-152025464",320,167,348,357,304,211
"chr1:152034435-152034716",110,37,51,140,61,72
"chr1:152083100-152083322",74,36,63,75,31,47
"chr1:152114315-152114889",303,166,230,371,297,223
"chr1:152154909-152155379",216,114,105,279,185,156
"chr1:152157962-152158532",280,159,254,304,218,182
"chr1:152160837-152161695",382,211,407,421,330,259
"chr1:152162237-152162685",251,134,279,291,236,178
"chr1:152199828-152200149",159,60,63,187,102,111
"chr1:152319592-152320006",240,133,175,317,276,177
"chr1:152320955-152321268",151,65,72,173,104,111
"chr1:152365334-152365598",144,34,62,97,63,94
"chr1:152369944-152370363",213,89,188,207,128,148
"chr1:152371352-152372199",468,235,466,527,340,332
"chr1:152381231-152381458",102,27,63,84,54,69
"chr1:152413102-152413857",333,181,370,363,275,239
"chr1:152416547-152416763",64,21,44,55,34,49
"chr1:152423791-152424086",174,85,188,203,128,140
"chr1:152430808-152431447",270,163,296,346,268,222
"chr1:152432402-152432572",53,16,57,59,34,36
"chr1:152432689-152433342",340,178,377,426,341,229
"chr1:152433975-152434380",229,126,209,263,185,166
"chr1:152452520-152452982",158,72,145,181,111,131
"chr1:152458899-152459380",163,56,131,168,111,111
"chr1:152464097-152464356",142,52,41,140,74,104
"chr1:152467486-152467956",216,110,202,243,175,151
"chr1:152469718-152470196",186,67,145,212,127,121
"chr1:152505769-152506267",216,122,189,245,185,160
"chr1:152516271-152516666",150,74,135,168,89,110
"chr1:152595783-152595997",58,16,37,55,16,40
"chr1:152615941-152616072",29,9,7,23,14,15
"chr1:152626307-152626901",220,108,216,262,186,156
"chr1:152708139-152708574",206,93,179,215,133,144
"chr1:152717713-152717962",77,14,30,105,40,42
"chr1:152747439-152747715",116,32,105,94,46,67
"chr1:152749996-152750422",184,64,174,182,107,118
"chr1:152842301-152842699",199,95,174,213,144,150
"chr1:152843346-152844278",454,238,461,506,344,352
"chr1:152850586-152850817",97,25,41,75,33,58
"chr1:152890350-152890619",126,44,70,119,66,91
"chr1:152898631-152898938",145,68,111,164,91,99
"chr1:152913566-152913787",63,22,39,67,31,42
"chr1:152922219-152922361",31,12,12,35,17,20
"chr1:152933192-152933457",95,38,80,103,48,60
"chr1:152946971-152947121",27,9,3,25,17,18
"chr1:153005333-153005852",196,101,183,218,154,149
"chr1:153028672-153028890",26,12,21,27,9,19
"chr1:153030749-153030909",42,5,10,48,21,31
"chr1:153063839-153064078",61,17,25,75,38,42
"chr1:153153146-153153339",44,20,13,70,34,30
"chr1:153162771-153163297",212,94,153,250,155,150
"chr1:153165185-153165662",215,104,171,238,162,138
"chr1:153181431-153181644",51,15,38,26,14,29
"chr1:153195404-153195953",189,94,199,199,150,137
"chr1:153201575-153202240",219,64,209,213,130,140
"chr1:153203219-153203422",44,17,21,44,22,35
"chr1:153210953-153211495",204,98,179,205,131,136
"chr1:153238028-153238167",41,5,17,43,11,27
"chr1:153250272-153250782",229,112,219,247,162,163
"chr1:153261149-153261519",155,61,159,132,73,107
"chr1:153285098-153285440",157,40,133,117,65,110
"chr1:153320980-153321312",123,38,99,92,37,73
"chr1:153324935-153325300",219,115,201,249,193,162
"chr1:153325905-153326459",199,77,179,207,114,135
"chr1:153327076-153327333",98,40,72,87,52,56
"chr1:153327894-153328372",235,123,237,251,172,170
"chr1:153337809-153338099",134,26,98,107,51,104
"chr1:153366541-153366896",149,29,120,80,39,93
"chr1:153372829-153373077",124,24,86,67,34,83
"chr1:153377168-153377635",165,54,155,140,98,106
"chr1:153401415-153401572",32,11,22,31,10,26
"chr1:153438159-153438668",249,112,240,258,191,181
"chr1:153467361-153467935",300,152,289,323,215,202
"chr1:153476695-153476930",98,24,74,47,30,58
"chr1:153482130-153482648",252,139,264,284,191,172
"chr1:153483259-153483799",282,136,280,280,199,221
"chr1:153485604-153485917",169,62,124,146,80,103
"chr1:153505462-153506083",242,104,240,234,152,167
"chr1:153524925-153525139",40,19,41,36,20,24
"chr1:153540918-153541455",285,150,281,309,222,207
"chr1:153544936-153545397",250,136,255,282,206,188
"chr1:153580580-153580725",34,13,28,32,7,8
"chr1:153587070-153587255",37,9,22,19,20,25
"chr1:153599850-153600485",289,137,301,317,199,205
"chr1:153600670-153600886",80,15,62,53,26,39
"chr1:153631045-153631255",58,24,41,50,13,34
"chr1:153643511-153643798",60,24,34,51,24,39
"chr1:153644493-153644748",76,32,62,73,43,52
"chr1:153650087-153650769",292,138,315,341,242,217
"chr1:153651145-153651432",80,31,54,58,18,28
"chr1:153691019-153691149",24,9,33,19,19,22
"chr1:153700461-153700742",59,27,57,58,18,33
"chr1:153721811-153722319",247,139,254,292,187,185
"chr1:153744361-153744810",175,75,162,187,91,104
"chr1:153748460-153748721",58,21,46,59,16,32
"chr1:153769611-153770101",216,132,246,261,177,181
"chr1:153793806-153794179",147,58,82,179,94,113
"chr1:153800077-153800342",74,19,24,84,36,45
"chr1:153892814-153893025",79,20,57,70,32,49
"chr1:153894889-153895501",182,55,148,130,72,113
"chr1:153902874-153903028",59,19,25,47,16,43
"chr1:153918837-153919606",352,178,361,373,279,232
"chr1:153930597-153930806",68,33,62,59,33,45
"chr1:153935086-153935249",54,15,46,46,13,32
"chr1:153939681-153939803",37,20,24,28,13,26
"chr1:153940143-153940537",141,64,137,163,78,108
"chr1:153949969-153950279",76,28,59,49,24,32
"chr1:153959171-153959579",206,97,164,232,155,139
"chr1:154076934-154077492",228,67,199,201,93,166
"chr1:154090252-154090428",52,10,22,50,22,35
"chr1:154118577-154118839",106,22,42,111,57,63
"chr1:154155197-154155385",41,18,38,40,17,27
"chr1:154158542-154158988",202,94,166,194,132,140
"chr1:154171405-154172273",277,84,116,301,173,191
"chr1:154244563-154245130",234,101,225,246,154,165
"chr1:154249318-154249580",119,40,79,103,60,80
"chr1:154296978-154297646",305,150,325,343,224,222
"chr1:154298031-154298309",36,16,40,35,15,23
"chr1:154298559-154299103",254,106,222,246,140,179
"chr1:154301124-154301322",28,13,36,28,14,20
"chr1:154301661-154301918",101,25,89,85,41,56
"chr1:154307496-154308030",233,118,238,252,176,172
"chr1:154317623-154318156",225,117,217,254,149,155
"chr1:154320961-154321202",77,21,63,64,29,43
"chr1:154325262-154325398",33,11,21,34,11,20
"chr1:154325558-154325688",34,7,27,18,12,12
"chr1:154326079-154326452",169,46,125,163,74,119
"chr1:154377392-154378668",505,255,455,526,308,343
"chr1:154414876-154415362",191,86,182,185,102,119
"chr1:154439367-154439657",103,44,82,103,50,69
"chr1:154442455-154442672",44,14,41,24,20,28
"chr1:154451194-154451509",70,25,23,90,45,51
"chr1:154452263-154452732",224,119,232,254,214,172
"chr1:154453655-154453846",15,9,21,31,22,10
"chr1:154506704-154507117",204,95,163,225,131,146
"chr1:154518955-154519302",174,93,161,180,105,139
"chr1:154527523-154527695",29,3,7,41,11,22
"chr1:154531826-154532415",255,149,279,285,193,186
"chr1:154540356-154540658",73,18,48,56,23,32
"chr1:154560614-154560779",27,8,26,37,20,19
"chr1:154587523-154587680",59,15,48,48,22,45
"chr1:154599725-154599949",43,12,38,40,25,24
"chr1:154600023-154600369",75,17,60,47,22,32
"chr1:154636168-154636457",67,25,54,73,40,49
"chr1:154642019-154642581",246,133,248,273,192,179
"chr1:154649782-154649982",41,13,17,29,8,23
"chr1:154668585-154668793",69,21,29,86,41,52
"chr1:154714366-154714633",98,35,68,78,34,60
"chr1:154721601-154721924",164,66,142,154,86,110
"chr1:154725129-154725337",47,15,46,45,25,29
"chr1:154732812-154733412",289,143,276,306,213,201
"chr1:154738414-154738789",181,82,179,184,113,129
"chr1:154792038-154792498",180,70,162,187,105,130
"chr1:154836040-154836613",221,80,210,248,168,157
"chr1:154850871-154851522",295,146,299,321,219,203
"chr1:154879099-154879451",180,72,185,179,93,141
"chr1:154908919-154909417",180,75,139,156,71,115
"chr1:154911680-154911894",47,14,35,36,17,29
"chr1:154916200-154916740",258,116,263,309,194,183
"chr1:154928150-154928392",57,22,27,69,30,49
"chr1:154933914-154934764",276,112,262,293,145,181
"chr1:154946008-154946196",64,20,58,61,31,44
"chr1:154960646-154960804",41,15,34,29,22,28
"chr1:154965572-154965913",126,57,131,136,60,95
"chr1:154968237-154968532",140,57,86,154,105,123
"chr1:154970722-154970990",94,27,74,77,41,57
"chr1:154971529-154972235",367,154,341,361,243,228
"chr1:154973346-154973523",66,24,51,37,12,37
"chr1:154973657-154973873",97,24,82,56,21,47
"chr1:154974120-154974762",224,91,220,215,124,133
"chr1:154975119-154975376",96,22,67,62,22,41
"chr1:154976202-154976381",37,15,26,21,11,24
"chr1:154989794-154990525",446,220,470,420,304,305
"chr1:155017178-155017888",265,117,266,271,187,180
"chr1:155018731-155018894",47,18,42,35,19,34
"chr1:155022809-155023507",280,122,281,291,173,197
"chr1:155023594-155023981",76,32,71,68,20,42
"chr1:155024827-155025407",186,70,209,193,122,127
"chr1:155030496-155030731",77,17,63,83,24,47
"chr1:155033815-155034531",327,157,358,369,263,220
"chr1:155034672-155035566",333,144,340,310,198,230
"chr1:155056566-155057717",432,203,432,434,277,294
"chr1:155058313-155059110",368,177,393,399,264,242
"chr1:155059733-155059967",47,17,43,43,15,33
"chr1:155063766-155064417",324,161,331,355,231,212
"chr1:155066715-155067261",186,75,168,193,90,131
"chr1:155080231-155080473",66,21,45,46,14,45
"chr1:155085137-155085393",86,29,72,74,40,39
"chr1:155099423-155099526",28,13,16,28,7,13
"chr1:155108238-155108438",53,21,40,37,16,38
"chr1:155139675-155140789",516,251,504,542,362,345
"chr1:155145581-155146128",271,159,298,308,232,204
"chr1:155148390-155148815",183,75,164,167,103,116
"chr1:155149020-155149629",302,154,315,316,236,198
"chr1:155163109-155163734",318,163,337,342,219,212
"chr1:155176562-155177052",250,133,235,262,183,195
"chr1:155182780-155182969",11,4,10,12,4,8
"chr1:155196377-155196951",182,78,176,209,120,129
"chr1:155197153-155197301",31,9,17,21,14,14
"chr1:155203398-155203601",11,3,16,8,4,3
"chr1:155214235-155214695",74,24,59,68,22,53
"chr1:155220216-155220993",437,240,459,482,342,295
"chr1:155223097-155223289",48,11,29,39,21,33
"chr1:155225097-155225271",32,16,35,31,18,19
"chr1:155231437-155231676",90,19,53,63,35,40
"chr1:155246897-155247445",260,127,274,274,163,181
"chr1:155248104-155248530",162,56,148,148,75,110
"chr1:155277264-155277484",84,27,34,70,38,58
"chr1:155279476-155279778",61,26,53,62,32,21
"chr1:155292880-155293677",340,158,342,356,220,217
"chr1:155294809-155295415",226,85,199,210,106,137
"chr1:155474057-155474347",123,43,51,129,65,94
"chr1:155532244-155532401",35,14,29,22,9,10
"chr1:155532827-155533073",49,14,32,33,15,21
"chr1:155561586-155562022",136,45,85,134,86,107
"chr1:155577578-155577728",27,12,25,28,12,13
"chr1:155597634-155597875",1,1,1,1,1,1
"chr1:155603585-155603961",1,1,1,1,1,1
"chr1:155618268-155618699",159,68,99,163,94,110
"chr1:155682463-155682776",86,26,50,111,61,52
"chr1:155698857-155699414",213,82,146,238,154,154
"chr1:155701626-155701825",42,11,32,51,22,28
"chr1:155715233-155715456",44,15,42,49,16,35
"chr1:155733265-155733444",30,10,18,31,20,20
"chr1:155880979-155881323",50,21,51,43,17,36
"chr1:155907921-155908332",192,85,106,223,130,147
"chr1:155915776-155915919",32,10,23,30,10,15
"chr1:155931859-155932062",59,10,47,34,9,52
"chr1:155935990-155936242",64,21,59,44,22,34
"chr1:155948322-155948704",104,35,81,101,43,61
"chr1:155953635-155953835",63,14,50,42,24,42
"chr1:155958992-155959608",312,164,319,355,214,237
"chr1:155971419-155971629",46,11,24,47,16,30
"chr1:155973199-155973369",48,13,32,34,16,21
"chr1:155978337-155978645",86,31,54,88,49,64
"chr1:155984726-155984937",45,13,44,34,22,33
"chr1:155995658-155996086",221,108,224,226,132,147
"chr1:156021196-156021377",48,7,31,22,8,18
"chr1:156022720-156022938",40,10,32,25,17,20
"chr1:156022993-156024038",409,197,373,460,244,277
"chr1:156024596-156024632",12,7,20,19,4,7
"chr1:156036056-156036547",229,106,241,257,182,172
"chr1:156045070-156045316",72,17,37,62,30,51
"chr1:156052160-156052550",36,13,38,39,22,19
"chr1:156060424-156060919",242,121,235,258,160,174
"chr1:156066265-156066920",299,163,306,324,225,197
"chr1:156092935-156093514",224,57,198,177,93,134
"chr1:156095816-156096080",121,37,101,125,60,86
"chr1:156099966-156100644",303,157,321,340,236,206
"chr1:156106943-156107204",79,37,63,91,43,48
"chr1:156110958-156111460",170,69,172,172,87,125
"chr1:156115734-156116262",221,102,203,245,155,144
"chr1:156163311-156163453",33,10,26,41,14,16
"chr1:156163734-156163962",65,19,60,56,27,38
"chr1:156195182-156195590",231,147,233,264,188,170
"chr1:156222655-156222847",76,15,54,72,28,55
"chr1:156229672-156229949",118,42,82,93,51,76
"chr1:156289335-156289827",162,41,130,209,145,98
"chr1:156306057-156306472",147,61,53,179,87,99
"chr1:156326622-156327174",309,167,303,328,228,222
"chr1:156329816-156330108",134,59,122,136,72,96
"chr1:156338954-156339204",46,17,44,39,13,18
"chr1:156349408-156349605",75,24,39,72,22,47
"chr1:156352641-156353204",267,136,265,300,191,179
"chr1:156355132-156355823",307,141,333,351,213,212
"chr1:156389767-156389927",53,7,48,36,26,29
"chr1:156414213-156414767",166,57,125,181,116,91
"chr1:156415535-156416007",260,145,289,262,230,181
"chr1:156421729-156421911",33,14,11,41,13,16
"chr1:156426145-156426654",257,118,236,242,164,177
"chr1:156427298-156427676",181,64,150,174,88,120
"chr1:156435580-156435856",85,26,83,60,25,52
"chr1:156449633-156450080",182,67,171,172,95,107
"chr1:156450340-156451019",206,87,171,211,83,116
"chr1:156458950-156459073",28,4,29,25,6,24
"chr1:156470917-156471394",242,96,216,217,124,148
"chr1:156553611-156554200",256,112,249,304,219,168
"chr1:156554679-156554965",140,65,107,117,82,106
"chr1:156569688-156569906",64,22,45,73,32,39
"chr1:156572464-156572838",174,48,110,158,79,97
"chr1:156577876-156578315",217,103,185,231,160,154
"chr1:156578792-156579213",209,82,190,223,136,139
"chr1:156589104-156589578",221,101,218,230,148,163
"chr1:156594173-156594466",116,35,87,95,33,75
"chr1:156595277-156596147",343,159,319,349,260,214
"chr1:156597141-156597620",209,97,153,237,146,152
"chr1:156601081-156601287",42,6,36,35,24,29
"chr1:156618970-156619133",42,13,11,36,19,25
"chr1:156627140-156627768",315,155,343,345,218,203
"chr1:156629551-156630316",458,290,480,490,361,360
"chr1:156647657-156648213",268,122,252,294,184,196
"chr1:156652037-156652295",101,30,89,92,37,73
"chr1:156654101-156654299",51,21,35,63,29,38
"chr1:156658777-156659783",463,243,432,487,319,321
"chr1:156661605-156661816",41,20,26,54,19,23
"chr1:156674801-156674976",31,10,17,32,13,17
"chr1:156675593-156676285",344,163,329,341,228,226
"chr1:156679644-156679813",47,8,36,26,11,26
"chr1:156695430-156696014",269,147,271,305,224,185
"chr1:156696270-156696752",223,87,183,228,141,148
"chr1:156717098-156717510",140,63,118,161,58,97
"chr1:156721460-156721775",64,21,65,67,15,52
"chr1:156743560-156743747",45,11,15,41,19,24
"chr1:156766987-156767468",214,106,156,241,176,155
"chr1:156783475-156783993",195,84,177,172,87,138
"chr1:156803518-156803643",28,6,14,13,5,23
"chr1:156808472-156809189",336,150,362,360,249,226
"chr1:156829779-156830418",306,132,302,316,185,190
"chr1:156834653-156834884",70,11,60,44,15,44
"chr1:156859847-156860304",228,104,224,239,155,156
"chr1:156861913-156862462",262,122,268,273,196,182
"chr1:156877025-156877372",129,60,115,130,52,81
"chr1:156879857-156880611",357,169,373,388,240,256
"chr1:156882680-156882800",32,4,38,6,8,21
"chr1:156883176-156883308",45,19,28,26,14,27
"chr1:156890143-156890609",222,109,222,219,136,153
"chr1:156897471-156898103",260,143,284,297,190,186
"chr1:156918553-156918847",132,48,101,128,64,94
"chr1:156931475-156931896",220,80,189,211,106,150
"chr1:156939942-156940105",50,8,13,42,12,34
"chr1:157043959-157044636",236,127,233,247,147,165
"chr1:157059743-157060331",268,134,292,308,220,191
"chr1:157094732-157094973",81,28,63,72,35,58
"chr1:157105979-157106242",86,28,55,60,34,49
"chr1:157108146-157108365",28,9,25,17,16,18
"chr1:157125715-157126351",319,165,319,331,236,207
"chr1:157133263-157133971",332,145,327,377,254,225
"chr1:157140554-157140950",193,93,201,228,130,137
"chr1:157141693-157142182",134,52,121,139,90,100
"chr1:157163209-157163877",220,114,243,280,202,161
"chr1:157166650-157167091",117,39,94,130,84,72
